z_m,m_chi_GeV,M_sic
0.33,5.0,31.5567
0.33,0.5,19.8702
0.33,0.05,0.0202
0.33,0.005,0.012
0.66,5.0,31.4634
0.66,0.5,11.8121
0.66,0.05,0.0139
0.66,0.005,0.0145
1.0,5.0,28.778
1.0,0.5,0.3867
1.0,0.05,0.0126
1.0,0.005,0.0145
1.04,5.0,30.2374
1.04,0.5,0.3162
1.04,0.05,0.0183
1.04,0.005,0.0152
1.08,5.0,30.4436
1.08,0.5,0.1891
1.08,0.05,0.019
1.08,0.005,0.0196
1.16,5.0,28.1278
1.16,0.5,0.1404
1.16,0.05,0.0746
1.16,0.005,0.0651
1.24,5.0,23.5957
1.24,0.5,0.7273
1.24,0.05,0.4756
1.24,0.005,0.5012
