E_inc robustness: default (E_dep/0.937) vs oracle (E_chi=50 GeV)
Oracle bin (containing log10(0.50)) = 2 / 5

Default vs oracle SIC per cell:
      z     m_χ  channel    SIC def    SIC ora     Δ SIC
   0.33   5.000        L      0.039      0.039    +0.000
   0.33   5.000        S     30.051     30.051    +0.000
   0.33   5.000      occ      0.020      0.020    +0.000
   0.33   5.000     comb     31.362     31.363    +0.001
   0.66   5.000        L      0.028      0.028    +0.000
   0.66   5.000        S     22.405     22.404    -0.001
   0.66   5.000      occ      0.007      0.007    +0.000
   0.66   5.000     comb     20.736     20.736    +0.001
   1.00   5.000        L      0.034      0.034    +0.000
   1.00   5.000        S      0.049      0.046    -0.003
   1.00   5.000      occ      0.014      0.014    +0.000
   1.00   5.000     comb      0.046      0.047    +0.001
   1.04   5.000        L      0.001      0.001    +0.000
   1.04   5.000        S      0.569      0.567    -0.001
   1.04   5.000      occ      0.000      0.000    +0.000
   1.04   5.000     comb      0.102      0.105    +0.003
   1.08   5.000        L      0.115      0.116    +0.001
   1.08   5.000        S      8.678      8.678    -0.000
   1.08   5.000      occ      0.046      0.046    +0.000
   1.08   5.000     comb      1.309      1.312    +0.003
   1.16   5.000        L     10.297     10.348    +0.050
   1.16   5.000        S      5.291      5.273    -0.018
   1.16   5.000      occ      8.543      8.546    +0.004
   1.16   5.000     comb     13.069     13.099    +0.031
   1.24   5.000        L     22.219     25.175    +2.956
   1.24   5.000        S      3.277      2.775    -0.502
   1.24   5.000      occ     40.701     40.812    +0.111
   1.24   5.000     comb     29.904     31.116    +1.212
   0.33   0.500        L      0.024      0.024    +0.000
   0.33   0.500        S      0.043      0.042    -0.001
   0.33   0.500      occ      0.010      0.010    +0.000
   0.33   0.500     comb      0.038      0.039    +0.001
   0.66   0.500        L      0.024      0.024    +0.000
   0.66   0.500        S      0.013      0.013    -0.000
   0.66   0.500      occ      0.007      0.007    +0.000
   0.66   0.500     comb      0.030      0.030    +0.000
   1.00   0.500        L      0.023      0.023    +0.000
   1.00   0.500        S      0.008      0.008    -0.000
   1.00   0.500      occ      0.009      0.009    +0.000
   1.00   0.500     comb      0.023      0.023    +0.001
   1.04   0.500        L      0.002      0.002    +0.000
   1.04   0.500        S      0.039      0.039    -0.001
   1.04   0.500      occ      0.001      0.001    +0.000
   1.04   0.500     comb      0.018      0.018    +0.000
   1.08   0.500        L      0.134      0.134    +0.001
   1.08   0.500        S      0.576      0.576    -0.001
   1.08   0.500      occ      0.052      0.052    +0.000
   1.08   0.500     comb      0.309      0.313    +0.003
   1.16   0.500        L     10.524     10.581    +0.057
   1.16   0.500        S      0.394      0.393    -0.001
   1.16   0.500      occ      8.764      8.765    +0.001
   1.16   0.500     comb     13.043     13.073    +0.030
   1.24   0.500        L     22.166     25.293    +3.127
   1.24   0.500        S      0.267      0.216    -0.050
   1.24   0.500      occ     40.954     41.051    +0.097
   1.24   0.500     comb     29.892     31.177    +1.285
   0.33   0.050        L      0.022      0.022    +0.000
   0.33   0.050        S      0.005      0.005    -0.000
   0.33   0.050      occ      0.008      0.008    +0.000
   0.33   0.050     comb      0.025      0.025    +0.001
   0.66   0.050        L      0.031      0.031    +0.000
   0.66   0.050        S      0.007      0.006    -0.001
   0.66   0.050      occ      0.009      0.009    +0.000
   0.66   0.050     comb      0.030      0.031    +0.001
   1.00   0.050        L      0.028      0.028    +0.000
   1.00   0.050        S      0.006      0.006    -0.001
   1.00   0.050      occ      0.007      0.007    +0.000
   1.00   0.050     comb      0.031      0.032    +0.001
   1.04   0.050        L      0.002      0.002    +0.000
   1.04   0.050        S      0.042      0.041    -0.001
   1.04   0.050      occ      0.002      0.002    +0.000
   1.04   0.050     comb      0.018      0.021    +0.003
   1.08   0.050        L      0.144      0.145    +0.000
   1.08   0.050        S      0.507      0.507    +0.000
   1.08   0.050      occ      0.060      0.060    +0.000
   1.08   0.050     comb      0.318      0.319    +0.001
   1.16   0.050        L     10.481     10.541    +0.060
   1.16   0.050        S      0.362      0.360    -0.002
   1.16   0.050      occ      8.595      8.596    +0.001
   1.16   0.050     comb     12.979     13.018    +0.039
   1.24   0.050        L     22.173     25.307    +3.134
   1.24   0.050        S      0.236      0.196    -0.040
   1.24   0.050      occ     41.148     41.241    +0.093
   1.24   0.050     comb     29.896     31.188    +1.292
   0.33   0.005        L      0.025      0.025    +0.000
   0.33   0.005        S      0.006      0.005    -0.001
   0.33   0.005      occ      0.010      0.010    +0.000
   0.33   0.005     comb      0.026      0.028    +0.002
   0.66   0.005        L      0.025      0.025    +0.000
   0.66   0.005        S      0.007      0.006    -0.001
   0.66   0.005      occ      0.003      0.003    +0.000
   0.66   0.005     comb      0.028      0.028    +0.000
   1.00   0.005        L      0.024      0.024    +0.000
   1.00   0.005        S      0.010      0.008    -0.001
   1.00   0.005      occ      0.011      0.011    +0.000
   1.00   0.005     comb      0.027      0.028    +0.002
   1.04   0.005        L      0.002      0.002    +0.000
   1.04   0.005        S      0.041      0.040    -0.001
   1.04   0.005      occ      0.000      0.000    +0.000
   1.04   0.005     comb      0.020      0.022    +0.002
   1.08   0.005        L      0.130      0.130    +0.000
   1.08   0.005        S      0.530      0.530    -0.000
   1.08   0.005      occ      0.039      0.039    +0.000
   1.08   0.005     comb      0.311      0.313    +0.002
   1.16   0.005        L     10.515     10.574    +0.059
   1.16   0.005        S      0.358      0.356    -0.001
   1.16   0.005      occ      8.759      8.762    +0.003
   1.16   0.005     comb     13.024     13.055    +0.031
   1.24   0.005        L     22.195     25.329    +3.134
   1.24   0.005        S      0.235      0.200    -0.035
   1.24   0.005      occ     40.898     40.987    +0.089
   1.24   0.005     comb     29.928     31.225    +1.297

Dominant-channel flips: 0 / 28
