cell_stem,z_m,m_chi_GeV,regime,channel,alpha_nominal,achieved_eps_B,eps_S,SIC,p_floor,floor_hit
eval_signal_neg_91_5GeV,0.33,5.0,morphology,T_raw,0.01,0.010475,0.90692,8.861188261903017,0.00012498437695288088,False
eval_signal_neg_91_5GeV,0.33,5.0,morphology,T_raw,0.001,0.000875,0.85185,28.797786075619474,0.00012498437695288088,False
eval_signal_neg_91_5GeV,0.33,5.0,morphology,T_I,0.01,0.009225,0.01042,0.10848870659195167,0.00012498437695288088,False
eval_signal_neg_91_5GeV,0.33,5.0,morphology,T_I,0.001,0.001025,0.00124,0.038731092948374304,0.00012498437695288088,False
eval_signal_neg_91_5GeV,0.33,5.0,morphology,T_S,0.01,0.010375,0.90521,8.887002254409499,0.00012498437695288088,False
eval_signal_neg_91_5GeV,0.33,5.0,morphology,T_S,0.001,0.0008,0.84996,30.050623986865897,0.00012498437695288088,False
eval_signal_neg_91_5GeV,0.33,5.0,morphology,T_occ,0.01,0.00195,0.00022,0.004982018950236222,0.00012498437695288088,True
eval_signal_neg_91_5GeV,0.33,5.0,morphology,T_occ,0.001,0.000125,0.00022,0.01967739820199815,0.00012498437695288088,True
eval_signal_neg_91_5GeV,0.33,5.0,morphology,p_comb,0.01,0.009575,0.90058,9.203497668648296,0.00024993751562109475,False
eval_signal_neg_91_5GeV,0.33,5.0,morphology,p_comb,0.001,0.000675,0.8148,31.36166662238047,0.00024993751562109475,False
eval_signal_neg_8_5GeV,1.16,5.0,combination,T_raw,0.01,0.010475,0.8976,8.770125902928758,0.00012498437695288088,False
eval_signal_neg_8_5GeV,1.16,5.0,combination,T_raw,0.001,0.000875,0.2096,7.085773271643883,0.00012498437695288088,False
eval_signal_neg_8_5GeV,1.16,5.0,combination,T_I,0.01,0.009225,0.34084,3.548684333474166,0.00012498437695288088,False
eval_signal_neg_8_5GeV,1.16,5.0,combination,T_I,0.001,0.001025,0.32968,10.297473163887128,0.00012498437695288088,False
eval_signal_neg_8_5GeV,1.16,5.0,combination,T_S,0.01,0.010375,0.87535,8.593848304147494,0.00012498437695288088,False
eval_signal_neg_8_5GeV,1.16,5.0,combination,T_S,0.001,0.0008,0.14966,5.291280043618935,0.00012498437695288088,False
eval_signal_neg_8_5GeV,1.16,5.0,combination,T_occ,0.01,0.00195,0.09555,2.1637814122503225,0.00012498437695288088,True
eval_signal_neg_8_5GeV,1.16,5.0,combination,T_occ,0.001,0.000125,0.09551,8.542674101240197,0.00012498437695288088,True
eval_signal_neg_8_5GeV,1.16,5.0,combination,p_comb,0.01,0.009575,0.84377,8.622926589392804,0.00024993751562109475,False
eval_signal_neg_8_5GeV,1.16,5.0,combination,p_comb,0.001,0.000675,0.33953,13.068515793196909,0.00024993751562109475,False
eval_signal_zero_5GeV,1.24,5.0,occupancy,T_raw,0.01,0.010475,0.85762,8.379495740719431,0.00012498437695288088,False
eval_signal_zero_5GeV,1.24,5.0,occupancy,T_raw,0.001,0.000875,0.16812,5.683493332198328,0.00012498437695288088,False
eval_signal_zero_5GeV,1.24,5.0,occupancy,T_I,0.01,0.009225,0.80964,8.4296349716994,0.00012498437695288088,False
eval_signal_zero_5GeV,1.24,5.0,occupancy,T_I,0.001,0.001025,0.71134,22.218528756368208,0.00012498437695288088,False
eval_signal_zero_5GeV,1.24,5.0,occupancy,T_S,0.01,0.010375,0.77345,7.5934334504402585,0.00012498437695288088,False
eval_signal_zero_5GeV,1.24,5.0,occupancy,T_S,0.001,0.0008,0.09269,3.2770863774090544,0.00012498437695288088,False
eval_signal_zero_5GeV,1.24,5.0,occupancy,T_occ,0.01,0.00195,0.45629,10.332933758196752,0.00012498437695288088,True
eval_signal_zero_5GeV,1.24,5.0,occupancy,T_occ,0.001,0.000125,0.45505,40.700909326451175,0.00012498437695288088,True
eval_signal_zero_5GeV,1.24,5.0,occupancy,p_comb,0.01,0.009575,0.90085,9.206256939751956,0.00024993751562109475,False
eval_signal_zero_5GeV,1.24,5.0,occupancy,p_comb,0.001,0.000675,0.77693,29.904049642766395,0.00024993751562109475,False
