eps_E_keV,stem,z_m,m_chi_GeV,SIC_p_occ,eps_B_T,eps_S
0.0,eval_signal_neg_91_5GeV,0.33,5.0,0.019052558883257648,0.00013333333333333334,0.00022
0.0,eval_signal_neg_8_5GeV,1.16,5.0,8.271408631545173,0.00013333333333333334,0.09551
0.0,eval_signal_zero_5GeV,1.24,5.0,39.40848599921088,0.00013333333333333334,0.45505
0.1,eval_signal_neg_91_5GeV,0.33,5.0,0.019052558883257648,0.00013333333333333334,0.00022
0.1,eval_signal_neg_8_5GeV,1.16,5.0,8.274006707756527,0.00013333333333333334,0.09554
0.1,eval_signal_zero_5GeV,1.24,5.0,39.415414202441156,0.00013333333333333334,0.45513
1.0,eval_signal_neg_91_5GeV,0.33,5.0,0.019052558883257648,0.00013333333333333334,0.00022
1.0,eval_signal_neg_8_5GeV,1.16,5.0,8.292193241236,0.00013333333333333334,0.09575
1.0,eval_signal_zero_5GeV,1.24,5.0,39.446591116977395,0.00013333333333333334,0.45549
10.0,eval_signal_neg_91_5GeV,0.33,5.0,0.019918584287042088,0.00013333333333333334,0.00023
10.0,eval_signal_neg_8_5GeV,1.16,5.0,8.436819483668001,0.00013333333333333334,0.09742
10.0,eval_signal_zero_5GeV,1.24,5.0,39.80166153252901,0.00013333333333333334,0.45959
