stem,z_m,m_chi_GeV,combiner,SIC_1e-02_mean,SIC_1e-02_std,SIC_2e-03_mean,SIC_2e-03_std,SIC_1e-03_mean,SIC_1e-03_std,SIC_5e-04_mean,SIC_5e-04_std,SIC_2e-04_mean,SIC_2e-04_std,SIC_1e-04_mean,SIC_1e-04_std
eval_signal_neg_91_low,0.33,0.005,minp,0.0238,0.0192,0.0128,0.0064,0.0133,0.006,0.0085,0.0035,0.0106,0.0047,0.0093,0.0132
eval_signal_neg_91_low,0.33,0.005,AM,0.0021,0.0008,0.0013,0.0006,0.0011,0.0005,0.001,0.0009,0.0007,0.001,0.001,0.0014
eval_signal_neg_91_low,0.33,0.005,GM,0.0064,0.0004,0.0064,0.0011,0.0055,0.002,0.0051,0.0018,0.0021,0.0025,0.0023,0.0033
eval_signal_neg_91_low,0.33,0.005,HM,0.0149,0.0089,0.0126,0.0046,0.0112,0.0028,0.0094,0.0035,0.0078,0.0,0.0073,0.0052
eval_signal_neg_91_low,0.33,0.005,Cauchy,0.0011,0.0,0.0025,0.0,0.0035,0.0,0.0049,0.0,0.0078,0.0,0.011,0.0
eval_signal_neg_91_low,0.33,0.005,evalue,0.012,0.0061,0.0101,0.0019,0.0096,0.0029,0.0067,0.0004,0.0087,0.0013,0.0073,0.0052
eval_signal_neg_91_low,0.33,0.005,nested,0.0241,0.0232,0.0134,0.0063,0.0141,0.007,0.0003,0.0004,0.0,0.0,0.0,0.0
eval_signal_neg_58_low,0.66,0.005,minp,0.0228,0.0177,0.0131,0.0068,0.0133,0.0068,0.0084,0.0038,0.0099,0.006,0.0083,0.0118
eval_signal_neg_58_low,0.66,0.005,AM,0.0013,0.0007,0.0004,0.0005,0.0004,0.0004,0.0003,0.0002,0.0002,0.0003,0.0,0.0
eval_signal_neg_58_low,0.66,0.005,GM,0.0051,0.0004,0.0053,0.0004,0.0038,0.0012,0.0031,0.0016,0.0016,0.0023,0.0023,0.0033
eval_signal_neg_58_low,0.66,0.005,HM,0.014,0.0087,0.0122,0.0055,0.0109,0.0026,0.0089,0.0038,0.0057,0.0,0.007,0.0014
eval_signal_neg_58_low,0.66,0.005,Cauchy,0.0003,0.0,0.0007,0.0,0.0009,0.0,0.0013,0.0,0.0021,0.0,0.003,0.0
eval_signal_neg_58_low,0.66,0.005,evalue,0.0107,0.0061,0.0093,0.0023,0.0089,0.0029,0.0057,0.0011,0.0059,0.0003,0.007,0.0014
eval_signal_neg_58_low,0.66,0.005,nested,0.023,0.0218,0.0134,0.0066,0.0139,0.0076,0.0028,0.0009,0.0012,0.0017,0.0,0.0
eval_signal_neg_24_low,1.0,0.005,minp,0.0244,0.0171,0.0145,0.0061,0.0133,0.0061,0.0094,0.0024,0.0129,0.0039,0.0087,0.0123
eval_signal_neg_24_low,1.0,0.005,AM,0.0025,0.0012,0.0013,0.0015,0.0013,0.0018,0.0006,0.0008,0.0005,0.0007,0.0003,0.0005
eval_signal_neg_24_low,1.0,0.005,GM,0.008,0.0005,0.0086,0.0003,0.0071,0.0019,0.0061,0.0037,0.0033,0.0047,0.0033,0.0047
eval_signal_neg_24_low,1.0,0.005,HM,0.0165,0.0087,0.0142,0.0046,0.013,0.0015,0.0101,0.003,0.0113,0.0,0.012,0.0057
eval_signal_neg_24_low,1.0,0.005,Cauchy,0.0012,0.0,0.0027,0.0,0.0038,0.0,0.0054,0.0,0.0085,0.0,0.012,0.0
eval_signal_neg_24_low,1.0,0.005,evalue,0.0138,0.0063,0.0116,0.0012,0.0124,0.0017,0.0086,0.0006,0.0115,0.0003,0.012,0.0057
eval_signal_neg_24_low,1.0,0.005,nested,0.0242,0.021,0.015,0.0061,0.0148,0.0076,0.0022,0.0001,0.0012,0.0012,0.0002,0.0003
eval_signal_neg_20_low,1.04,0.005,minp,0.0823,0.0072,0.044,0.0083,0.0205,0.007,0.011,0.005,0.0079,0.0019,0.0017,0.0024
eval_signal_neg_20_low,1.04,0.005,AM,0.0145,0.0196,0.0011,0.0016,0.0011,0.0015,0.0,0.0,0.0,0.0,0.0,0.0
eval_signal_neg_20_low,1.04,0.005,GM,0.1118,0.0169,0.0443,0.0205,0.0183,0.0175,0.007,0.0083,0.0047,0.0067,0.0057,0.008
eval_signal_neg_20_low,1.04,0.005,HM,0.1014,0.0067,0.0558,0.0052,0.0331,0.0042,0.0134,0.0016,0.009,0.0023,0.011,0.0024
eval_signal_neg_20_low,1.04,0.005,Cauchy,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
eval_signal_neg_20_low,1.04,0.005,evalue,0.1105,0.0106,0.0616,0.0116,0.0358,0.0056,0.0157,0.0033,0.0127,0.0075,0.0113,0.0029
eval_signal_neg_20_low,1.04,0.005,nested,0.0782,0.0076,0.0456,0.0078,0.0284,0.0052,0.0059,0.0009,0.0021,0.003,0.0,0.0
eval_signal_neg_16_low,1.08,0.005,minp,2.1649,0.2638,0.8675,0.1747,0.2605,0.0951,0.0854,0.037,0.0365,0.0086,0.0113,0.016
