stem,z_m,m_chi_GeV,merged_raw,emerge_raw,merged_L,emerge_L,merged_S,emerge_S,merged_occ,emerge_occ,merged_comb,perseed_occ_1e3,perseed_comb_1e3
eval_signal_neg_91_5GeV,0.33,5.0,26.201,27.026,0.022,0.024,26.609,27.812,0.005,0.005,26.413,0.005,26.505
eval_signal_neg_58_5GeV,0.66,5.0,17.101,22.705,0.014,0.016,17.34,23.218,0.002,0.002,16.512,0.002,18.193
eval_signal_neg_24_5GeV,1.0,5.0,0.047,0.055,0.017,0.015,0.049,0.058,0.004,0.004,0.047,0.004,0.049
eval_signal_neg_20_5GeV,1.04,5.0,1.007,1.103,0.0,0.0,1.09,1.167,0.0,0.0,0.791,0.0,0.359
eval_signal_neg_16_5GeV,1.08,5.0,17.891,18.845,0.0,0.047,17.609,18.394,0.012,0.012,13.04,0.012,5.051
eval_signal_neg_8_5GeV,1.16,5.0,12.78,13.748,0.0,7.104,11.705,12.385,2.192,2.192,10.15,2.192,8.632
eval_signal_zero_5GeV,1.24,5.0,7.583,9.009,0.0,23.293,6.365,7.139,10.468,10.468,16.949,10.468,21.083
eval_signal_neg_91_0.5GeV,0.33,0.5,0.019,0.025,0.015,0.014,0.018,0.026,0.003,0.003,0.018,0.003,0.027
eval_signal_neg_58_0.5GeV,0.66,0.5,0.011,0.012,0.012,0.014,0.011,0.012,0.002,0.002,0.012,0.002,0.015
eval_signal_neg_24_0.5GeV,1.0,0.5,0.009,0.009,0.009,0.01,0.009,0.008,0.002,0.002,0.011,0.002,0.013
eval_signal_neg_20_0.5GeV,1.04,0.5,0.067,0.066,0.0,0.001,0.067,0.062,0.0,0.0,0.039,0.0,0.018
eval_signal_neg_16_0.5GeV,1.08,0.5,1.316,1.294,0.0,0.064,1.227,1.115,0.013,0.013,0.665,0.013,0.273
eval_signal_neg_8_0.5GeV,1.16,0.5,1.036,1.06,0.0,7.27,0.855,0.792,2.248,2.248,3.555,2.248,6.968
eval_signal_zero_0.5GeV,1.24,0.5,0.488,0.528,0.0,23.401,0.406,0.393,10.529,10.529,14.705,10.529,20.692
eval_signal_neg_91_0.05GeV,0.33,0.05,0.006,0.006,0.011,0.013,0.005,0.005,0.002,0.002,0.009,0.002,0.012
eval_signal_neg_58_0.05GeV,0.66,0.05,0.006,0.006,0.017,0.016,0.006,0.006,0.002,0.002,0.009,0.002,0.014
eval_signal_neg_24_0.05GeV,1.0,0.05,0.005,0.005,0.014,0.015,0.005,0.005,0.002,0.002,0.008,0.002,0.014
eval_signal_neg_20_0.05GeV,1.04,0.05,0.062,0.061,0.0,0.002,0.063,0.059,0.0,0.0,0.04,0.0,0.02
eval_signal_neg_16_0.05GeV,1.08,0.05,1.166,1.149,0.0,0.069,1.095,0.988,0.015,0.015,0.594,0.015,0.263
eval_signal_neg_8_0.05GeV,1.16,0.05,0.925,0.951,0.0,7.258,0.772,0.715,2.205,2.205,3.466,2.205,6.924
eval_signal_zero_0.05GeV,1.24,0.05,0.428,0.461,0.0,23.49,0.355,0.341,10.578,10.578,14.749,10.578,20.738
eval_signal_neg_91_low,0.33,0.005,0.006,0.006,0.013,0.013,0.006,0.006,0.003,0.003,0.009,0.003,0.013
eval_signal_neg_58_low,0.66,0.005,0.007,0.007,0.012,0.014,0.006,0.006,0.001,0.001,0.009,0.001,0.013
eval_signal_neg_24_low,1.0,0.005,0.009,0.009,0.013,0.015,0.009,0.009,0.003,0.003,0.012,0.003,0.013
eval_signal_neg_20_low,1.04,0.005,0.058,0.057,0.0,0.001,0.06,0.055,0.0,0.0,0.041,0.0,0.02
eval_signal_neg_16_low,1.08,0.005,1.145,1.129,0.0,0.054,1.077,0.973,0.01,0.01,0.599,0.01,0.261
eval_signal_neg_8_low,1.16,0.005,0.93,0.953,0.0,7.302,0.772,0.715,2.247,2.247,3.519,2.247,6.955
eval_signal_zero_low,1.24,0.005,0.426,0.461,0.0,23.46,0.362,0.341,10.513,10.513,14.67,10.513,20.719
