z_m,m_chi_GeV,stem,p_raw,best_channel,best_SIC,p_comb,dSIC_best,dSIC_comb
0.33,0.005,eval_signal_neg_91_low,0.005,p_L,0.015,0.015,+0.009,+0.009
0.33,0.05,eval_signal_neg_91_0.05GeV,0.006,p_L,0.013,0.014,+0.007,+0.008
0.33,0.5,eval_signal_neg_91_0.5GeV,0.216,p_S,0.184,0.060,-0.031,-0.156
0.33,5.0,eval_signal_neg_91_5GeV,29.067,p_S,28.809,28.834,-0.259,-0.233
0.66,0.005,eval_signal_neg_58_low,0.007,p_L,0.014,0.014,+0.007,+0.007
0.66,0.05,eval_signal_neg_58_0.05GeV,0.006,p_L,0.017,0.016,+0.011,+0.010
0.66,0.5,eval_signal_neg_58_0.5GeV,0.027,p_S,0.024,0.018,-0.002,-0.009
0.66,5.0,eval_signal_neg_58_5GeV,22.460,p_S,22.196,19.166,-0.264,-3.294
1.0,0.005,eval_signal_neg_24_low,0.008,p_L,0.014,0.015,+0.006,+0.006
1.0,0.05,eval_signal_neg_24_0.05GeV,0.005,p_L,0.014,0.015,+0.009,+0.010
1.0,0.5,eval_signal_neg_24_0.5GeV,0.009,p_L,0.012,0.013,+0.004,+0.005
1.0,5.0,eval_signal_neg_24_5GeV,0.279,p_S,0.249,0.101,-0.030,-0.177
1.04,0.005,eval_signal_neg_20_low,0.057,p_S,0.058,0.020,+0.001,-0.037
1.04,0.05,eval_signal_neg_20_0.05GeV,0.060,p_S,0.061,0.019,+0.001,-0.041
1.04,0.5,eval_signal_neg_20_0.5GeV,0.063,p_S,0.064,0.018,+0.000,-0.045
1.04,5.0,eval_signal_neg_20_5GeV,1.601,p_S,1.646,0.450,+0.045,-1.151
1.08,0.005,eval_signal_neg_16_low,1.095,p_S,1.034,0.243,-0.061,-0.852
1.08,0.05,eval_signal_neg_16_0.05GeV,1.103,p_S,1.042,0.248,-0.061,-0.855
1.08,0.5,eval_signal_neg_16_0.5GeV,1.247,p_S,1.176,0.249,-0.071,-0.998
1.08,5.0,eval_signal_neg_16_5GeV,20.309,p_S,19.823,5.802,-0.486,-14.506
1.16,0.005,eval_signal_neg_8_low,1.132,p_occ,8.481,7.656,+7.349,+6.524
1.16,0.05,eval_signal_neg_8_0.05GeV,1.117,p_occ,8.322,7.623,+7.206,+6.506
1.16,0.5,eval_signal_neg_8_0.5GeV,1.278,p_occ,8.486,7.669,+7.208,+6.391
1.16,5.0,eval_signal_neg_8_5GeV,15.535,p_S,14.336,9.568,-1.199,-5.966
1.24,0.005,eval_signal_zero_low,0.675,p_occ,39.601,22.816,+38.925,+22.141
1.24,0.05,eval_signal_zero_0.05GeV,0.663,p_occ,39.844,22.835,+39.181,+22.172
1.24,0.5,eval_signal_zero_0.5GeV,0.777,p_occ,39.659,22.783,+38.882,+22.006
1.24,5.0,eval_signal_zero_5GeV,11.484,p_occ,39.412,23.044,+27.928,+11.560
