stem,z_m,m_chi_GeV,epsB_target,epsB_achieved_raw,raw_SIC,best_SIC,comb_SIC,occ_SIC,sup_SIC,dSIC_best,dSIC_comb
neg_8_5GeV,1.16,5.0,1e-02,0.010055555555555555,9.327,9.280,8.454,0.410,10.000,-0.047,-0.873
neg_8_5GeV,1.16,5.0,2e-03,0.0020444444444444447,14.575,14.444,12.406,0.410,,-0.131,-2.170
neg_8_5GeV,1.16,5.0,1e-03,0.0011,15.458,13.560,10.106,2.192,31.588,-1.899,-5.352
neg_8_5GeV,1.16,5.0,5e-04,0.0005333333333333334,8.799,7.687,0.039,2.192,,-1.112,-8.760
neg_8_5GeV,1.16,5.0,2e-04,0.0002111111111111111,0.074,5.856,0.009,4.590,,+5.782,-0.065
neg_8_5GeV,1.16,5.0,1e-04,0.00016666666666666666,0.047,8.271,0.002,8.271,,+8.224,-0.045
neg_91_5GeV,0.33,5.0,1e-02,0.010055555555555555,9.112,9.101,9.031,0.001,9.983,-0.012,-0.081
neg_91_5GeV,0.33,5.0,2e-03,0.0020444444444444447,19.740,19.895,19.319,0.001,,+0.155,-0.420
neg_91_5GeV,0.33,5.0,1e-03,0.0011,26.580,27.405,26.357,0.005,31.523,+0.826,-0.223
neg_91_5GeV,0.33,5.0,5e-04,0.0005333333333333334,37.264,37.562,0.019,0.005,,+0.299,-37.245
neg_91_5GeV,0.33,5.0,2e-04,0.0002111111111111111,48.919,49.120,0.011,0.011,,+0.202,-48.908
neg_91_5GeV,0.33,5.0,1e-04,0.00016666666666666666,53.254,53.090,0.000,0.019,,-0.163,-53.253
zero_5GeV,1.24,5.0,1e-02,0.010055555555555555,8.541,8.488,8.620,1.959,10.000,-0.053,+0.079
zero_5GeV,1.24,5.0,2e-03,0.0020444444444444447,11.560,10.855,16.340,1.959,,-0.705,+4.780
zero_5GeV,1.24,5.0,1e-03,0.0011,11.397,15.064,20.777,10.468,31.623,+3.667,+9.380
zero_5GeV,1.24,5.0,5e-04,0.0005333333333333334,6.410,20.590,1.490,10.468,,+14.180,-4.919
zero_5GeV,1.24,5.0,2e-04,0.0002111111111111111,0.069,21.919,0.015,21.919,,+21.850,-0.054
zero_5GeV,1.24,5.0,1e-04,0.00016666666666666666,0.068,39.412,0.008,39.412,,+39.344,-0.060
