z_m,m_chi_GeV,majority_channel,label_agreement_pct,dominance_agreement_pct,per_seed_labels,n_seeds
0.33,0.005,no_detection,0.0,0.0,no_dominance;no_dominance;no_dominance,3
0.66,0.005,no_detection,0.0,0.0,no_dominance;no_dominance;no_dominance,3
1.0,0.005,no_detection,0.0,0.0,no_dominance;no_dominance;no_dominance,3
1.04,0.005,no_detection,0.0,0.0,no_dominance;no_dominance;no_dominance,3
1.08,0.005,no_detection,0.0,0.0,no_dominance;no_dominance;no_dominance,3
1.16,0.005,no_stable_label,33.333333333333336,33.333333333333336,no_dominance;no_dominance;p_occ,3
1.24,0.005,p_occ,100.0,100.0,p_occ;p_occ;p_occ,3
0.33,0.05,no_detection,0.0,0.0,no_dominance;no_dominance;no_dominance,3
0.66,0.05,no_detection,0.0,0.0,no_dominance;no_dominance;no_dominance,3
1.0,0.05,no_detection,0.0,0.0,no_dominance;no_dominance;no_dominance,3
1.04,0.05,no_detection,0.0,0.0,no_dominance;no_dominance;no_dominance,3
1.08,0.05,no_detection,0.0,0.0,no_dominance;no_dominance;no_dominance,3
1.16,0.05,no_stable_label,33.333333333333336,33.333333333333336,no_dominance;no_dominance;p_occ,3
1.24,0.05,p_occ,100.0,100.0,p_occ;p_occ;p_occ,3
0.33,0.5,no_detection,0.0,0.0,no_dominance;no_dominance;no_dominance,3
0.66,0.5,no_detection,0.0,0.0,no_dominance;no_dominance;no_dominance,3
1.0,0.5,no_detection,0.0,0.0,no_dominance;no_dominance;no_dominance,3
1.04,0.5,no_detection,0.0,0.0,no_dominance;no_dominance;no_dominance,3
1.08,0.5,no_detection,0.0,0.0,no_dominance;no_dominance;no_dominance,3
1.16,0.5,no_stable_label,33.333333333333336,33.333333333333336,no_dominance;no_dominance;p_occ,3
1.24,0.5,p_occ,100.0,100.0,p_occ;p_occ;p_occ,3
0.33,5.0,no_dominance_codet,0.0,0.0,no_dominance;no_dominance;no_dominance,3
0.66,5.0,no_dominance_codet,0.0,0.0,no_dominance;no_dominance;no_dominance,3
1.0,5.0,no_detection,0.0,0.0,no_dominance;no_dominance;no_dominance,3
1.04,5.0,no_detection,0.0,0.0,no_dominance;no_dominance;no_dominance,3
1.08,5.0,no_dominance_codet,0.0,0.0,no_dominance;no_dominance;no_dominance,3
1.16,5.0,no_dominance_codet,0.0,0.0,no_dominance;no_dominance;no_dominance,3
1.24,5.0,p_occ,100.0,100.0,p_occ;p_occ;p_occ,3
