stem,z_m,m_chi_GeV,n_seeds,A_p_raw_mean,A_p_raw_std,A_p_raw_n,A_p_L_mean,A_p_L_std,A_p_L_n,A_p_S_mean,A_p_S_std,A_p_S_n,A_p_occ_mean,A_p_occ_std,A_p_occ_n,A_p_comb_mean,A_p_comb_std,A_p_comb_n,D_p_raw_mean,D_p_raw_std,D_p_raw_n,D_p_L_mean,D_p_L_std,D_p_L_n,D_p_S_mean,D_p_S_std,D_p_S_n,D_p_occ_mean,D_p_occ_std,D_p_occ_n,D_p_comb_mean,D_p_comb_std,D_p_comb_n
eval_signal_neg_16_0.05GeV,1.08,0.05,3,1.1033,0.10661960420110367,3,0.07336666666666668,0.06445630733726185,3,1.042,0.13622733450620936,3,0.058,0.0,3,0.24813333333333332,0.06787657098652589,3,0.4891752826368654,0.0,3,0.1446169035088492,0.0,3,0.5073491155013479,0.0,3,0.059926621796994366,0.0,3,0.3186973485926734,0.0,3
eval_signal_neg_16_0.5GeV,1.08,0.5,3,1.247,0.12387259583943491,3,0.06796666666666668,0.05973554683398785,3,1.1763333333333332,0.16062648875228794,3,0.0502,0.0,3,0.24856666666666666,0.07248081738562893,3,0.5540831294000154,0.0,3,0.13430943522420122,0.0,3,0.5755849198858497,0.0,3,0.05187677707799512,0.0,3,0.3125389457213174,0.0,3
eval_signal_neg_16_5GeV,1.08,5.0,3,20.308799999999998,4.48962324551478,3,0.05686666666666666,0.051687544168999,3,19.823233333333334,3.910957172128355,3,0.0442,0.0,3,5.802366666666666,5.824281132370663,3,8.383930206906884,0.0,3,0.1158809313213457,0.0,3,8.677967972111905,0.0,3,0.045615786740995715,0.0,3,1.3117398115988297,0.0,3
eval_signal_neg_16_low,1.08,0.005,3,1.0948333333333333,0.10399263862836104,3,0.06343333333333334,0.058581358430438914,3,1.0335,0.13408377977965866,3,0.0381,0.0,3,0.24306666666666665,0.06181350086258574,3,0.5114873549616982,0.0,3,0.12993656989132024,0.0,3,0.5296229791087241,0.0,3,0.0393547964039963,0.0,3,0.31292384590077715,0.0,3
eval_signal_neg_20_0.05GeV,1.04,0.05,3,0.059566666666666664,0.0034653843782312074,3,0.0013333333333333333,0.0009977753031397175,3,0.06066666666666667,0.005651155240794183,3,0.0017,0.0,3,0.018966666666666666,0.0038612030364756638,3,0.035158416996706285,0.0,3,0.0021864326664404847,0.0,3,0.04136574669941303,0.0,3,0.0017888543819998318,0.0,3,0.020784609690826527,0.0,3
eval_signal_neg_20_0.5GeV,1.04,0.5,3,0.06316666666666666,0.0031626290048347777,3,0.0011,0.0006683312551921141,3,0.0635,0.005894630324852159,3,0.0009,0.0,3,0.017766666666666667,0.0037747700445045504,3,0.03448229359292348,0.0,3,0.0018740851426632728,0.0,3,0.03853731957466684,0.0,3,0.0008944271909999159,0.0,3,0.018090308434608272,0.0,3
eval_signal_neg_20_5GeV,1.04,5.0,3,1.6011,0.7171249821335189,3,0.0004333333333333333,0.00041899350299921784,3,1.6459666666666666,0.6970161420097974,3,0.0,0.0,3,0.45043333333333335,0.4587101214880216,3,0.4935700847614537,0.0,3,0.0009370425713316364,0.0,3,0.567099638511611,0.0,3,0.0,0.0,3,0.10507774899251188,0.0,3
eval_signal_neg_20_low,1.04,0.005,3,0.056633333333333334,0.002229100466306733,3,0.001,0.001019803902718557,3,0.057966666666666666,0.0043407628617815825,3,0.0,0.0,3,0.019633333333333332,0.0038724095283886946,3,0.036848725506163325,0.0,3,0.0021864326664404847,0.0,3,0.03995153313703993,0.0,3,0.0,0.0,3,0.02193931022920578,0.0,3
eval_signal_neg_24_0.05GeV,1.0,0.05,3,0.005366666666666666,0.00038586123009300746,3,0.014233333333333334,0.011636246053698857,3,0.005433333333333333,0.0002624669291337269,3,0.0069,0.0,3,0.015233333333333333,0.008811482407757632,3,0.005408987230262507,0.0,3,0.027798929616171877,0.0,3,0.005656854249492381,0.0,3,0.007155417527999327,0.0,3,0.03156181471569954,0.0,3
eval_signal_neg_24_0.5GeV,1.0,0.5,3,0.008833333333333334,0.00016996731711975928,3,0.012499999999999999,0.009003332716277901,3,0.008633333333333333,0.00040276819911981907,3,0.0087,0.0,3,0.013466666666666667,0.004543371239753826,3,0.007437357441610946,0.0,3,0.022801369235736484,0.0,3,0.008131727983645297,0.0,3,0.00894427190999916,0.0,3,0.02347891094704478,0.0,3
