stem,z_m,m_chi_GeV,n_seeds,cons_SIC_raw_mean,cons_SIC_raw_std,cons_SIC_raw_n,cons_SIC_L_mean,cons_SIC_L_std,cons_SIC_L_n,cons_SIC_S_mean,cons_SIC_S_std,cons_SIC_S_n,cons_SIC_occ_mean,cons_SIC_occ_std,cons_SIC_occ_n,cons_SIC_comb_mean,cons_SIC_comb_std,cons_SIC_comb_n,rand_SIC_raw_mean,rand_SIC_raw_std,rand_SIC_raw_n,rand_SIC_L_mean,rand_SIC_L_std,rand_SIC_L_n,rand_SIC_S_mean,rand_SIC_S_std,rand_SIC_S_n,rand_SIC_occ_mean,rand_SIC_occ_std,rand_SIC_occ_n,rand_SIC_comb_mean,rand_SIC_comb_std,rand_SIC_comb_n
eval_signal_neg_16_0.05GeV,1.08,0.05,3,1.1032872586112323,0.10660866195714822,3,0.07339305004526953,0.06446842757327428,3,1.0420193720898885,0.13621032381143755,3,0.05802370205355739,0.0,3,0.24814331462338002,0.0678509298689083,3,1.1070411924594106,0.07666195780048785,3,0.07305023287208882,0.06452418673151464,3,1.030099456911882,0.12301513436000763,3,0.04857468476480316,0.0,3,0.40382207127032127,0.1420041883778516,3
eval_signal_neg_16_0.5GeV,1.08,0.5,3,1.2469868271209823,0.12385157928164653,3,0.0679621692990937,0.05972868104213519,3,1.1763156591189425,0.16061690465975068,3,0.05022947341949744,0.0,3,0.24855133468286025,0.07247743601935419,3,1.2507422190795365,0.09047363216176534,3,0.06764506341390156,0.0597805663684463,3,1.1623004755589386,0.1449017713452622,3,0.04246038878042234,0.0,3,0.4288711174339854,0.15136544650995634,3
eval_signal_neg_16_5GeV,1.08,5.0,3,20.308789931663853,4.489619175437142,3,0.05688916482646872,0.05169890347648738,3,19.82320153921476,3.910947561075059,3,0.04416729559300637,0.0,3,5.802389838310536,5.82428565971933,3,20.2026755514553,4.677502673798056,3,0.05664181938859558,0.05176072838813263,3,19.296300468640872,3.6869206688430016,3,0.04008260700871869,0.0,3,8.70193472496108,5.015491752560833,3
eval_signal_neg_16_low,1.08,0.005,3,1.0948202221778291,0.10396885648734541,3,0.0634411591979518,0.05858372344733191,3,1.0334707608768308,0.13408474452583363,3,0.038105117766515297,0.0,3,0.24307017052713534,0.0618012784801798,3,1.0975680710959523,0.07685382963061961,3,0.06317547588873677,0.058650313266270265,3,1.02144884334002,0.12044019933479745,3,0.040761973229205446,0.0,3,0.3961227376389025,0.13765778705126294,3
eval_signal_neg_20_0.05GeV,1.04,0.05,3,0.05957474632483191,0.003503609351000711,3,0.001319640200595947,0.0009881793657630213,3,0.06067676092916977,0.005638950934924042,3,0.0017320508075688774,0.0,3,0.018953692734298432,0.0038641227694369397,3,0.05946150054672363,0.003163090597173087,3,0.0013110697712664296,0.0009859832921454614,3,0.06005512348026203,0.005478340743317354,3,0.021400035945332862,0.0,3,0.03548632732719117,0.007825519448932903,3
eval_signal_neg_20_0.5GeV,1.04,0.5,3,0.06319044929172658,0.003169546066659327,3,0.0011356219949063965,0.0006736479783328723,3,0.06347007295847304,0.005905914524781029,3,0.0008660254037844387,0.0,3,0.017797824658836562,0.0037624862480754944,3,0.06378228028893304,0.0018024293181741252,3,0.0011265344923938395,0.0006792742879449038,3,0.0627958886977735,0.0052385977870504,3,0.025136550158010026,0.0,3,0.0386709678013881,0.008829112016560574,3
eval_signal_neg_20_5GeV,1.04,5.0,3,1.6010831038706528,0.7171283559975321,3,0.00044509236558232473,0.0004258872686374995,3,1.6459507994586562,0.6970422425658994,3,0.0,0.0,3,0.45044045175379793,0.4587306140159262,3,1.6044580446035077,0.7390412968232005,3,0.00044337827971642127,0.0004264124901379908,3,1.6128438892730346,0.6815103136843641,3,0.02106035283508948,0.0,3,0.696645807982909,0.4871403962128755,3
eval_signal_neg_20_low,1.04,0.005,3,0.056632689777352765,0.0021978510008655947,3,0.001003412434579109,0.001005540752073601,3,0.057963636124215984,0.0043271982821878495,3,0.0,0.0,3,0.019643142069521113,0.0038878825349116094,3,0.05711330124236363,0.0019420552965306078,3,0.000999984262847302,0.001006816327210499,3,0.0568844957870025,0.00403907651060171,3,0.02445718393752327,0.0,3,0.03787407265290493,0.006961650479048458,3
eval_signal_neg_24_0.05GeV,1.0,0.05,3,0.0053636418017094225,0.00039626351768485375,3,0.014246593095201838,0.011640707813205217,3,0.0054240467648854485,0.000252946872101024,3,0.0069282032302755096,0.0,3,0.015245827704953276,0.008811102605133616,3,0.005413083376081402,0.0003517353515507991,3,0.014140425689367235,0.01169204856267817,3,0.005265826918938567,0.00020571062146122334,3,0.02615559948874016,0.0,3,0.02302072036542852,0.00900679787064852,3
eval_signal_neg_24_0.5GeV,1.0,0.5,3,0.00881909373146926,0.00018556992062913202,3,0.012505740342845576,0.009003994586153998,3,0.008630506375223812,0.00039432060493866316,3,0.008660254037844387,0.0,3,0.013465742014071774,0.004539018705505216,3,0.008950138753507995,0.00027719032229232615,3,0.012739773120437392,0.009520721700006129,3,0.00881394676242286,0.00028115538680331263,3,0.027514331929713677,0.0,3,0.025466372605895984,0.006205866905323419,3
