z_m,m_chi_GeV,stem,n_seeds,raw_LL_mean,raw_LL_std,raw_LL_n,T_occ_raw_mean,T_occ_raw_std,T_occ_raw_n,T_occ_simple_mean,T_occ_simple_std,T_occ_simple_n,p_raw_mean,p_raw_std,p_raw_n,p_L_mean,p_L_std,p_L_n,p_S_mean,p_S_std,p_S_n,p_occ_mean,p_occ_std,p_occ_n,p_Bonf_mean,p_Bonf_std,p_Bonf_n,p_comb_mean,p_comb_std,p_comb_n,majority_label,label_agreement_pct,dominance_agreement_pct,per_seed_labels
0.33,0.005,eval_signal_neg_91_low,3,0.0052,0.00014142135623730948,3,0.0025,0.0,3,0.0,0.0,3,0.005333333333333333,0.00033993463423951883,3,0.0146,0.009461500938011895,3,0.0054666666666666665,0.000612825877028341,3,0.0095,0.0,3,0.008866666666666667,0.004061472092179824,3,0.014566666666666667,0.006976309116494831,3,no_stable_label,0.0,0.0,no_dominance;no_dominance;no_dominance
0.33,0.05,eval_signal_neg_91_0.05GeV,3,0.004833333333333334,0.0006599663291074443,3,0.0021,0.0,3,0.0,0.0,3,0.005833333333333334,0.0008259674462242579,3,0.012833333333333334,0.008074789298936675,3,0.0057666666666666665,0.0005436502143433363,3,0.0078,0.0,3,0.009766666666666667,0.004215315989209929,3,0.013533333333333333,0.006284548954026499,3,no_stable_label,0.0,0.0,no_dominance;no_dominance;no_dominance
0.33,0.5,eval_signal_neg_91_0.5GeV,3,0.15113333333333334,0.17560936446809688,3,0.0025,0.0,3,0.0,0.0,3,0.21566666666666665,0.2394215297104437,3,0.0145,0.00887956455388814,3,0.18446666666666667,0.19168123422900726,3,0.0095,0.0,3,0.010966666666666666,0.004836206042848969,3,0.0598,0.05118912644953679,3,no_stable_label,0.0,0.0,no_dominance;no_dominance;no_dominance
0.33,5.0,eval_signal_neg_91_5GeV,3,27.387966666666667,1.5759453720086736,3,0.0051,0.0,3,0.0009,0.0,3,29.0675,4.002069522134766,3,0.024033333333333334,0.013929425289253282,3,28.808933333333332,3.5717553390766037,3,0.0191,0.0,3,35.28066666666667,4.52804608143022,3,28.834333333333333,3.4137004597487604,3,no_stable_label,0.0,0.0,no_dominance;no_dominance;no_dominance
0.66,0.005,eval_signal_neg_58_low,3,0.006066666666666666,0.0008178562764256863,3,0.0007,0.0,3,0.0,0.0,3,0.006933333333333333,0.0010780641085864154,3,0.013533333333333333,0.010254213226225056,3,0.006733333333333333,0.0008379870059984357,3,0.0026,0.0,3,0.008366666666666666,0.005201495511442411,3,0.014433333333333333,0.007753422183497785,3,no_stable_label,0.0,0.0,no_dominance;no_dominance;no_dominance
0.66,0.05,eval_signal_neg_58_0.05GeV,3,0.005233333333333334,0.0003299831645537222,3,0.0023,0.0,3,0.0,0.0,3,0.005633333333333333,0.0009030811456096043,3,0.0171,0.012149348405024307,3,0.0055000000000000005,0.0006976149845485451,3,0.0087,0.0,3,0.0108,0.0049497474683058325,3,0.015600000000000001,0.00894315380612455,3,no_stable_label,0.0,0.0,no_dominance;no_dominance;no_dominance
0.66,0.5,eval_signal_neg_58_0.5GeV,3,0.018133333333333335,0.012226019612104162,3,0.0018,0.0,3,0.0,0.0,3,0.0266,0.01795791376153329,3,0.013300000000000001,0.009702576977277737,3,0.024466666666666664,0.013100720930120177,3,0.0069,0.0,3,0.009033333333333334,0.004296768811819205,3,0.017633333333333334,0.006271806402907822,3,no_stable_label,0.0,0.0,no_dominance;no_dominance;no_dominance
0.66,5.0,eval_signal_neg_58_5GeV,3,20.289166666666667,5.070104822278223,3,0.0018,0.0,3,0.0,0.0,3,22.459966666666666,6.600367895975362,3,0.015333333333333334,0.011307028296103663,3,22.196333333333335,6.074768090132239,3,0.0069,0.0,3,11.7494,7.993690340512322,3,19.165666666666667,8.105683418578733,3,no_stable_label,0.0,0.0,no_dominance;no_dominance;no_dominance
1.0,0.005,eval_signal_neg_24_low,3,0.007866666666666668,0.000776029781788188,3,0.0028,0.0,3,0.0,0.0,3,0.008366666666666666,0.0015923427883328246,3,0.014066666666666667,0.009231949354761912,3,0.0083,0.0008981462390204989,3,0.0104,0.0,3,0.010833333333333332,0.003441253001774531,3,0.014833333333333334,0.0065849997890829294,3,no_stable_label,0.0,0.0,no_dominance;no_dominance;no_dominance
1.0,0.05,eval_signal_neg_24_0.05GeV,3,0.005,0.00024494897427831773,3,0.0018,0.0,3,0.0,0.0,3,0.005366666666666666,0.00038586123009300746,3,0.014233333333333334,0.011636246053698857,3,0.005433333333333333,0.0002624669291337269,3,0.0069,0.0,3,0.009233333333333333,0.0030944394574067132,3,0.015233333333333333,0.008811482407757632,3,no_stable_label,0.0,0.0,no_dominance;no_dominance;no_dominance
1.0,0.5,eval_signal_neg_24_0.5GeV,3,0.0071333333333333335,0.0005557777333511026,3,0.0023,0.0,3,0.0,0.0,3,0.008833333333333334,0.00016996731711975928,3,0.012499999999999999,0.009003332716277901,3,0.008633333333333333,0.00040276819911981907,3,0.0087,0.0,3,0.009233333333333333,0.003147838764754143,3,0.013466666666666667,0.004543371239753826,3,no_stable_label,0.0,0.0,no_dominance;no_dominance;no_dominance
1.0,5.0,eval_signal_neg_24_5GeV,3,0.20736666666666664,0.23138908550078346,3,0.0037,0.0,3,0.0,0.0,3,0.2785333333333333,0.3093899624889096,3,0.0199,0.01299256197470948,3,0.24876666666666666,0.26170223962018785,3,0.0139,0.0,3,0.0155,0.0049665548085837796,3,0.10113333333333333,0.09702207079949501,3,no_stable_label,0.0,0.0,no_dominance;no_dominance;no_dominance
1.04,0.005,eval_signal_neg_20_low,3,0.040266666666666666,0.0005312459150169725,3,0.0,0.0,3,0.0,0.0,3,0.056633333333333334,0.002229100466306733,3,0.001,0.001019803902718557,3,0.057966666666666666,0.0043407628617815825,3,0.0,0.0,3,0.006633333333333333,0.001730767331432956,3,0.019633333333333332,0.0038724095283886946,3,no_stable_label,0.0,0.0,no_dominance;no_dominance;no_dominance
1.04,0.05,eval_signal_neg_20_0.05GeV,3,0.0411,0.001512172829628501,3,0.0005,0.0,3,0.0009,0.0,3,0.059566666666666664,0.0034653843782312074,3,0.0013333333333333333,0.0009977753031397175,3,0.06066666666666667,0.005651155240794183,3,0.0017,0.0,3,0.009566666666666668,0.00047140452079103207,3,0.018966666666666666,0.0038612030364756638,3,no_stable_label,0.0,0.0,no_dominance;no_dominance;no_dominance
1.04,0.5,eval_signal_neg_20_0.5GeV,3,0.03946666666666667,0.0021483844059096034,3,0.0002,0.0,3,0.0005,0.0,3,0.06316666666666666,0.0031626290048347777,3,0.0011,0.0006683312551921141,3,0.0635,0.005894630324852159,3,0.0009,0.0,3,0.009233333333333333,0.0008498365855987974,3,0.017766666666666667,0.0037747700445045504,3,no_stable_label,0.0,0.0,no_dominance;no_dominance;no_dominance
1.04,5.0,eval_signal_neg_20_5GeV,3,1.1569333333333334,0.6003903693061337,3,0.0,0.0,3,0.0,0.0,3,1.6011,0.7171249821335189,3,0.0004333333333333333,0.00041899350299921784,3,1.6459666666666666,0.6970161420097974,3,0.0,0.0,3,0.007466666666666667,0.0017307673314329562,3,0.45043333333333335,0.4587101214880216,3,no_stable_label,0.0,0.0,no_dominance;no_dominance;no_dominance
1.08,0.005,eval_signal_neg_16_low,3,0.6357,0.04855265183282987,3,0.0101,0.0,3,0.0201,0.0,3,1.0948333333333333,0.10399263862836104,3,0.06343333333333334,0.058581358430438914,3,1.0335,0.13408377977965866,3,0.0381,0.0,3,0.0308,0.006174679478860962,3,0.24306666666666665,0.06181350086258574,3,no_stable_label,0.0,0.0,no_dominance;no_dominance;no_dominance
1.08,0.05,eval_signal_neg_16_0.05GeV,3,0.6266999999999999,0.05394540449998191,3,0.0155,0.0,3,0.0306,0.0,3,1.1033,0.10661960420110367,3,0.07336666666666668,0.06445630733726185,3,1.042,0.13622733450620936,3,0.058,0.0,3,0.0425,0.00792632743877432,3,0.24813333333333332,0.06787657098652589,3,no_stable_label,0.0,0.0,no_dominance;no_dominance;no_dominance
1.08,0.5,eval_signal_neg_16_0.5GeV,3,0.7085333333333333,0.05809746599943544,3,0.0134,0.0,3,0.0265,0.0,3,1.247,0.12387259583943491,3,0.06796666666666668,0.05973554683398785,3,1.1763333333333332,0.16062648875228794,3,0.0502,0.0,3,0.03203333333333333,0.004721816976075583,3,0.24856666666666666,0.07248081738562893,3,no_stable_label,0.0,0.0,no_dominance;no_dominance;no_dominance
1.08,5.0,eval_signal_neg_16_5GeV,3,14.9535,4.752159730761021,3,0.0118,0.0,3,0.0233,0.0,3,20.308799999999998,4.48962324551478,3,0.05686666666666666,0.051687544168999,3,19.823233333333334,3.910957172128355,3,0.0442,0.0,3,0.0531,0.01066427056420957,3,5.802366666666666,5.824281132370663,3,no_stable_label,0.0,0.0,no_dominance;no_dominance;no_dominance
1.16,0.005,eval_signal_neg_8_low,3,0.6129666666666667,0.20747482310444856,3,2.2593,0.0,3,4.4712,0.0,3,1.1323,0.3662286262250217,3,6.158366666666667,4.711918853526896,3,0.8142666666666667,0.09388874030231503,3,8.481,0.0,3,2.6658666666666666,1.990567574559801,3,7.656466666666667,3.341094322058102,3,no_stable_label,33.333333333333336,33.333333333333336,no_dominance;no_dominance;p_occ
1.16,0.05,eval_signal_neg_8_0.05GeV,3,0.6185333333333334,0.20504513866192703,3,2.2166,0.0,3,4.3868,0.0,3,1.1169333333333333,0.35751446901566875,3,6.137766666666667,4.69621144209765,3,0.8149,0.09205693890196433,3,8.3225,0.0,3,2.639733333333333,1.9687085552604162,3,7.6227,3.345509627346283,3,no_stable_label,33.333333333333336,33.333333333333336,no_dominance;no_dominance;p_occ
1.16,0.5,eval_signal_neg_8_0.5GeV,3,0.6893,0.23527554059017694,3,2.2602,0.0,3,4.4731,0.0,3,1.2778666666666667,0.4278346201772622,3,6.1564000000000005,4.714840581256875,3,0.9105,0.113995526228006,3,8.4862,0.0,3,2.6733333333333333,1.988366888233211,3,7.6691,3.337449041808229,3,no_stable_label,33.333333333333336,33.333333333333336,no_dominance;no_dominance;p_occ
1.16,5.0,eval_signal_neg_8_5GeV,3,10.977066666666667,4.364771151185618,3,2.2037,0.0,3,4.3612,0.0,3,15.534666666666666,4.565000360958972,3,6.017799999999999,4.612318432921415,3,14.3357,3.2696148886374985,3,8.2714,0.0,3,2.6191666666666666,1.9548598881306614,3,9.568266666666666,3.693149328448854,3,no_stable_label,0.0,0.0,no_dominance;no_dominance;no_dominance
1.24,0.005,eval_signal_zero_low,3,0.40346666666666664,0.19938880499053993,3,10.5687,0.0,3,20.9162,0.0,3,0.6753666666666667,0.2932595816375353,3,15.932,11.276942078418244,3,0.4155,0.03101612483854165,3,39.6007,0.0,3,8.852,11.207546348182847,3,22.816266666666667,5.3093601374260615,3,p_occ,100.0,100.0,p_occ;p_occ;p_occ
