stem,z_m,m_chi_GeV,n_seeds,sic_raw_mean,sic_raw_std,sic_raw_n,sic_L_mean,sic_L_std,sic_L_n,sic_S_mean,sic_S_std,sic_S_n,sic_occ_mean,sic_occ_std,sic_occ_n,sic_shellII_mean,sic_shellII_std,sic_shellII_n,majority_label,label_agreement_pct,dominance_agreement_pct,per_seed_labels
eval_signal_neg_16_0.05GeV,1.08,0.05,3,1.1032872586112323,0.10660866195714822,3,0.07339305004526953,0.06446842757327428,3,1.0420193720898885,0.13621032381143755,3,0.05802370205355739,0.0,3,0.036162894637898305,0.015214304025731831,3,no_stable_label,0.0,0.0,no_dominance;no_dominance;no_dominance
eval_signal_neg_16_0.5GeV,1.08,0.5,3,1.2469868271209823,0.12385157928164653,3,0.0679621692990937,0.05972868104213519,3,1.1763156591189425,0.16061690465975068,3,0.05022947341949744,0.0,3,0.05191150112738532,0.017538645805149394,3,no_stable_label,0.0,0.0,no_dominance;no_dominance;no_dominance
eval_signal_neg_16_5GeV,1.08,5.0,3,20.308789931663853,4.489619175437142,3,0.05688916482646872,0.05169890347648738,3,19.82320153921476,3.910947561075059,3,0.04416729559300637,0.0,3,16.72158590784688,6.427900861453542,3,no_stable_label,0.0,0.0,no_dominance;no_dominance;no_dominance
eval_signal_neg_16_low,1.08,0.005,3,1.0948202221778291,0.10396885648734541,3,0.0634411591979518,0.05858372344733191,3,1.0334707608768308,0.13408474452583363,3,0.038105117766515297,0.0,3,0.038942225220178435,0.014080045431015082,3,no_stable_label,0.0,0.0,no_dominance;no_dominance;no_dominance
eval_signal_neg_20_0.05GeV,1.04,0.05,3,0.05957474632483191,0.003503609351000711,3,0.001319640200595947,0.0009881793657630213,3,0.06067676092916977,0.005638950934924042,3,0.0017320508075688774,0.0,3,0.022988675026831065,0.006472561483999816,3,no_stable_label,0.0,0.0,no_dominance;no_dominance;no_dominance
eval_signal_neg_20_0.5GeV,1.04,0.5,3,0.06319044929172658,0.003169546066659327,3,0.0011356219949063965,0.0006736479783328723,3,0.06347007295847304,0.005905914524781029,3,0.0008660254037844387,0.0,3,0.028984631849763437,0.011548511939983092,3,no_stable_label,0.0,0.0,no_dominance;no_dominance;no_dominance
eval_signal_neg_20_5GeV,1.04,5.0,3,1.6010831038706528,0.7171283559975321,3,0.00044509236558232473,0.0004258872686374995,3,1.6459507994586562,0.6970422425658994,3,0.0,0.0,3,17.60808275667846,5.194913797080308,3,sic_shellII,100.0,100.0,sic_shellII;sic_shellII;sic_shellII
eval_signal_neg_20_low,1.04,0.005,3,0.056632689777352765,0.0021978510008655947,3,0.001003412434579109,0.001005540752073601,3,0.057963636124215984,0.0043271982821878495,3,0.0,0.0,3,0.022152264752388785,0.008019075408503816,3,no_stable_label,0.0,0.0,no_dominance;no_dominance;no_dominance
eval_signal_neg_24_0.05GeV,1.0,0.05,3,0.0053636418017094225,0.00039626351768485375,3,0.014246593095201838,0.011640707813205217,3,0.0054240467648854485,0.000252946872101024,3,0.0069282032302755096,0.0,3,0.0187632112520359,0.005735651213818278,3,no_stable_label,0.0,0.0,no_dominance;no_dominance;no_dominance
eval_signal_neg_24_0.5GeV,1.0,0.5,3,0.00881909373146926,0.00018556992062913202,3,0.012505740342845576,0.009003994586153998,3,0.008630506375223812,0.00039432060493866316,3,0.008660254037844387,0.0,3,0.024333921593671915,0.008648688023265688,3,no_stable_label,0.0,0.0,no_dominance;no_dominance;no_dominance
eval_signal_neg_24_5GeV,1.0,5.0,3,0.27852353893557646,0.30941343923942544,3,0.019884296801675912,0.012972041700958187,3,0.24875882325206383,0.2616810155229149,3,0.013856406460551019,0.0,3,14.06293508893473,1.669353017213391,3,sic_shellII,100.0,100.0,sic_shellII;sic_shellII;sic_shellII
eval_signal_neg_24_low,1.0,0.005,3,0.008389634848128746,0.0015961734817009903,3,0.014088246667948718,0.009216126740531605,3,0.008270697038741052,0.0009124916274784804,3,0.010392304845413263,0.0,3,0.019840972107801533,0.00850528098285309,3,no_stable_label,0.0,0.0,no_dominance;no_dominance;no_dominance
eval_signal_neg_58_0.05GeV,0.66,0.05,3,0.005658597182336413,0.0009228780423943292,3,0.017131549728602518,0.012144997082036018,3,0.0055045188633174565,0.0007226308152601161,3,0.008660254037844387,0.0,3,0.018569119832690068,0.007692361544294714,3,no_stable_label,0.0,0.0,no_dominance;no_dominance;no_dominance
eval_signal_neg_58_0.5GeV,0.66,0.5,3,0.026611910769155766,0.01794875584674779,3,0.013307944679436726,0.009664459417363507,3,0.024452205632102302,0.013080567815724437,3,0.0069282032302755096,0.0,3,1.6310274652886612,0.6517779811207712,3,no_stable_label,0.0,0.0,no_dominance;no_dominance;no_dominance
