stem,z_m,m_chi_GeV,n_seeds,SIC_comb_cauchy_mean,SIC_comb_cauchy_std,SIC_comb_cauchy_n
eval_signal_neg_16_0.05GeV,1.08,0.05,3,0.04628562118846742,0.03402780144525496,3
eval_signal_neg_16_0.5GeV,1.08,0.5,3,0.040013310362939335,0.029401275377083407,3
eval_signal_neg_16_5GeV,1.08,5.0,3,0.03546817972086194,0.025349389748512113,3
eval_signal_neg_16_low,1.08,0.005,3,0.030664630702581738,0.022620354194271167,3
eval_signal_neg_20_0.05GeV,1.04,0.05,3,0.0013938468501173517,0.0010281979179214168,3
eval_signal_neg_20_0.5GeV,1.04,0.5,3,0.0006969234250586759,0.0005140989589607084,3
eval_signal_neg_20_5GeV,1.04,5.0,3,0.0,0.0,3
eval_signal_neg_20_low,1.04,0.005,3,0.0,0.0,3
eval_signal_neg_24_0.05GeV,1.0,0.05,3,0.008242054067136073,0.0011840093275557568,3
eval_signal_neg_24_0.5GeV,1.0,0.5,3,0.010302567583920091,0.0014800116594446962,3
eval_signal_neg_24_5GeV,1.0,5.0,3,0.016484108134272146,0.0023680186551115136,3
eval_signal_neg_24_low,1.0,0.005,3,0.01236308110070411,0.0017760139913336355,3
eval_signal_neg_58_0.05GeV,0.66,0.05,3,0.010302567583920091,0.0014800116594446962,3
eval_signal_neg_58_0.5GeV,0.66,0.5,3,0.008242054067136073,0.0011840093275557568,3
eval_signal_neg_58_5GeV,0.66,5.0,3,0.008242054067136073,0.0011840093275557568,3
eval_signal_neg_58_low,0.66,0.005,3,0.0030907702751760274,0.0004440034978334089,3
eval_signal_neg_8_0.05GeV,1.16,0.05,3,6.665879423292289,4.907992844751147,3
eval_signal_neg_8_0.5GeV,1.16,0.5,3,6.793515467723739,5.000990710829034,3
eval_signal_neg_8_5GeV,1.16,5.0,3,6.736567202587137,4.7776044023157995,3
eval_signal_neg_8_low,1.16,0.005,3,6.785753879580808,4.993071861999117,3
eval_signal_neg_91_0.05GeV,0.33,0.05,3,0.009272310825528082,0.0013320104935002264,3
eval_signal_neg_91_0.5GeV,0.33,0.5,3,0.0113328243423121,0.0016280128253891662,3
eval_signal_neg_91_5GeV,0.33,5.0,3,0.021998982017957535,0.0035182557477980883,3
eval_signal_neg_91_low,0.33,0.005,3,0.0113328243423121,0.0016280128253891662,3
eval_signal_zero_0.05GeV,1.24,0.05,3,29.759165158295925,21.389324905536377,3
eval_signal_zero_0.5GeV,1.24,0.5,3,29.648513587168726,21.315120391906568,3
eval_signal_zero_5GeV,1.24,5.0,3,30.76533847228174,22.30178067485361,3
eval_signal_zero_low,1.24,0.005,3,29.562214762890683,21.244284069981305,3
