stem,z_m,m_chi_GeV,n_seeds,SIC_comb_evalue_mean,SIC_comb_evalue_std,SIC_comb_evalue_n
eval_signal_neg_16_0.05GeV,1.08,0.05,3,0.1611687338990327,0.013657325752727854,3
eval_signal_neg_16_0.5GeV,1.08,0.5,3,0.16237100732616777,0.014519186393746981,3
eval_signal_neg_16_5GeV,1.08,5.0,3,3.091883940161429,1.7954315647627572,3
eval_signal_neg_16_low,1.08,0.005,3,0.16593607949774367,0.012677910935181749,3
eval_signal_neg_20_0.05GeV,1.04,0.05,3,0.01643924997913186,0.0008490591224728954,3
eval_signal_neg_20_0.5GeV,1.04,0.5,3,0.015125023341932841,0.0015564568079055856,3
eval_signal_neg_20_5GeV,1.04,5.0,3,0.21641599312202067,0.11779889568994868,3
eval_signal_neg_20_low,1.04,0.005,3,0.017051352098841288,0.0006073318028895946,3
eval_signal_neg_24_0.05GeV,1.0,0.05,3,0.008828269605156697,0.002555679371225528,3
eval_signal_neg_24_0.5GeV,1.0,0.5,3,0.009753676419321579,0.002141410184203732,3
eval_signal_neg_24_5GeV,1.0,5.0,3,0.03989163153744711,0.023534199092625805,3
eval_signal_neg_24_low,1.0,0.005,3,0.009617593655833624,0.0022483475875503386,3
eval_signal_neg_58_0.05GeV,0.66,0.05,3,0.009211695908366901,0.003644877869319172,3
eval_signal_neg_58_0.5GeV,0.66,0.5,3,0.010814405252767717,0.002558565628732051,3
eval_signal_neg_58_5GeV,0.66,5.0,3,20.91418252075219,7.8238889919595005,3
eval_signal_neg_58_low,0.66,0.005,3,0.008181250892375399,0.0032552264000176444,3
eval_signal_neg_8_0.05GeV,1.16,0.05,3,3.5332544819392315,2.148906548630075,3
eval_signal_neg_8_0.5GeV,1.16,0.5,3,3.6901898234790136,2.2276873915141175,3
eval_signal_neg_8_5GeV,1.16,5.0,3,8.106529719702817,3.011039513126111,3
eval_signal_neg_8_low,1.16,0.005,3,3.553900256448894,2.1631689802356546,3
eval_signal_neg_91_0.05GeV,0.33,0.05,3,0.008317333655863353,0.003156332848024579,3
eval_signal_neg_91_0.5GeV,0.33,0.5,3,0.023483731458612527,0.009055958730350104,3
eval_signal_neg_91_5GeV,0.33,5.0,3,32.29066465191619,2.1349341325177202,3
eval_signal_neg_91_low,0.33,0.005,3,0.008974446974462863,0.0024186313677430414,3
eval_signal_zero_0.05GeV,1.24,0.05,3,12.357564948716648,8.474217205792414,3
eval_signal_zero_0.5GeV,1.24,0.5,3,12.421617414516579,8.464915743694954,3
eval_signal_zero_5GeV,1.24,5.0,3,19.2182264438856,8.087933210395716,3
eval_signal_zero_low,1.24,0.005,3,12.285862912989176,8.402719867384913,3
