stem,z_m,m_chi_GeV,channel,target_1e-02_SIC,target_1e-02_eb,target_1e-02_es,target_2e-03_SIC,target_2e-03_eb,target_2e-03_es,target_1e-03_SIC,target_1e-03_eb,target_1e-03_es,target_5e-04_SIC,target_5e-04_eb,target_5e-04_es,target_2e-04_SIC,target_2e-04_eb,target_2e-04_es,target_1e-04_SIC,target_1e-04_eb,target_1e-04_es
zero_5GeV,1.24,5.0,raw,8.939451327667438,0.010066666666666666,0.89692,10.707292456169089,0.0020666666666666667,0.48676,10.42291995958287,0.0010333333333333334,0.33505,5.617040768945869,0.0005333333333333334,0.12972,0.0565685424949238,0.0002,0.0008,0.026162950903902256,0.0002,0.00037
zero_5GeV,1.24,5.0,L,8.1076,0.01,0.81076,16.17526853563798,0.002,0.72338,22.08337477606174,0.0010666666666666667,0.72124,30.24899040318147,0.0005666666666666667,0.72007,2.247624597955213,0.0003,0.03893,3.3714368969328192,0.00013333333333333334,0.03893
zero_5GeV,1.24,5.0,S,8.193866977149172,0.0102,0.82754,7.6715020172062784,0.002,0.34308,6.332237171312363,0.0010666666666666667,0.20681,2.878266700637729,0.0005,0.06436,0.04879036790187177,0.0002,0.00069,0.026162950903902256,0.0002,0.00037
zero_5GeV,1.24,5.0,occ,1.9593309638905403,0.054233333333333335,0.45629,1.9593309638905403,0.054233333333333335,0.45629,10.468010520779863,0.0019,0.45629,10.468010520779863,0.0019,0.45629,21.91946258991696,0.0004333333333333333,0.45629,39.41195010082602,0.00013333333333333334,0.45509
zero_5GeV,1.24,5.0,comb,9.002707969681978,0.010033333333333333,0.90177,17.783230529001727,0.0021,0.81493,24.205857638183364,0.0010666666666666667,0.79056,2.614857892888254,0.0005,0.05847,0.02050609665440988,0.0002,0.00029,0.0,0.00013333333333333334,0.0
zero_5GeV,1.24,5.0,SUP,10.0,0.01,1.0,,,,31.622776601683796,0.001,1.0,,,,,,,,,
neg_8_5GeV,1.16,5.0,raw,9.308722468560804,0.010066666666666666,0.93397,12.207712413510063,0.0020666666666666667,0.55497,13.606569052744222,0.0010333333333333334,0.43739,8.697493130207118,0.0005333333333333334,0.20086,0.12374368670764582,0.0002,0.00175,0.031112698372208092,0.0002,0.00044
neg_8_5GeV,1.16,5.0,L,3.4149,0.01,0.34149,7.445435544681049,0.002,0.33297,10.101083326802131,0.0010666666666666667,0.3299,13.775815438659157,0.0005666666666666667,0.32793,5.262547703663438,0.0003,0.09115,7.893821555495157,0.00013333333333333334,0.09115
neg_8_5GeV,1.16,5.0,S,9.065493859231537,0.0102,0.91557,10.925651744861723,0.002,0.48861,10.926255183902212,0.0010666666666666667,0.35685,6.090601957113927,0.0005,0.13619,0.1145512985522207,0.0002,0.00162,0.030405591591021543,0.0002,0.00043
neg_8_5GeV,1.16,5.0,occ,0.41029624493138384,0.054233333333333335,0.09555,0.41029624493138384,0.054233333333333335,0.09555,2.1920673371332176,0.0019,0.09555,2.1920673371332176,0.0019,0.09555,4.590073528822822,0.0004333333333333333,0.09555,8.271408631545173,0.00013333333333333334,0.09551
neg_8_5GeV,1.16,5.0,comb,8.486367820650683,0.010033333333333333,0.85005,11.715245655209488,0.0021,0.53686,12.346653048498608,0.0010666666666666667,0.40324,0.05411284505549491,0.0005,0.00121,0.01909188309203678,0.0002,0.00027,0.0,0.00013333333333333334,0.0
neg_8_5GeV,1.16,5.0,SUP,10.0,0.01,1.0,,,,31.587991547421943,0.001,0.9989,,,,,,,,,
neg_91_5GeV,0.33,5.0,raw,9.088455472238444,0.010066666666666666,0.91187,19.34378100112165,0.0020666666666666667,0.87938,27.10145840796598,0.0010333333333333334,0.87119,36.84072067699002,0.0005333333333333334,0.8508,53.55202496638199,0.0002,0.75734,45.86930978879015,0.0002,0.64869
neg_91_5GeV,0.33,5.0,L,0.11699999999999999,0.01,0.0117,0.04583939353874569,0.002,0.00205,0.037967091013139255,0.0010666666666666667,0.00124,0.04032806642000668,0.0005666666666666667,0.00096,0.013279056191361393,0.0003,0.00023,0.019918584287042088,0.00013333333333333334,0.00023
neg_91_5GeV,0.33,5.0,S,9.009154464036165,0.0102,0.90988,19.63401848323465,0.002,0.87806,26.61891122104264,0.0010666666666666667,0.86937,37.933551597497434,0.0005,0.84822,53.32433658283992,0.0002,0.75412,45.68192649177571,0.0002,0.64604
neg_91_5GeV,0.33,5.0,occ,0.000944690464520193,0.054233333333333335,0.00022,0.000944690464520193,0.054233333333333335,0.00022,0.0050471461451523595,0.0019,0.00022,0.0050471461451523595,0.0019,0.00022,0.01056845815113575,0.0004333333333333333,0.00022,0.019052558883257648,0.00013333333333333334,0.00022
neg_91_5GeV,0.33,5.0,comb,8.996717944751222,0.010033333333333333,0.90117,19.022271709761693,0.0021,0.87171,26.064714166737946,0.0010666666666666667,0.85127,0.020124611797498106,0.0005,0.00045,0.031112698372208092,0.0002,0.00044,0.0,0.00013333333333333334,0.0
neg_91_5GeV,0.33,5.0,SUP,9.982999999999999,0.01,0.9983,,,,31.52316485538849,0.001,0.99685,,,,,,,,,
