z_m,m_chi_GeV,stem,sic_raw,sic_L,sic_S,sic_occ,sic_shellI,sic_shellII,sic_comb4,sic_comb6
0.33,5.0,eval_signal_neg_91_5GeV,27.10145840796598,0.04212070567017896,26.61891122104264,0.019052558883257648,0.03356600170690926,30.81412242004048,27.563925663809208,33.803385252744356
0.66,5.0,eval_signal_neg_58_5GeV,21.446234950414656,0.030231796811660706,20.91098774792214,0.0069282032302755096,0.024060585294333185,30.835028614469817,17.98282385628447,34.05781536459864
1.0,5.0,eval_signal_neg_24_5GeV,0.06688338431011244,0.03736514212677167,0.07348469228349533,0.013856406460551019,0.024951718083012196,12.48389277815825,0.041101656339448824,5.872202668660048
1.04,5.0,eval_signal_neg_20_5GeV,0.94849971516992,0.0010190493307301362,1.0324599265831094,0.0,0.000891132788679007,10.834554854563788,0.07948584779695063,3.9682234861917287
1.08,5.0,eval_signal_neg_16_5GeV,16.617876774241378,0.12534306767980677,16.040789766833488,0.04416729559300637,0.12238223631191696,8.415868975969722,0.9990080272257769,2.907667199913798
1.16,5.0,eval_signal_neg_8_5GeV,13.606569052744222,11.206145806929065,10.926255183902212,8.271408631545173,10.319614737165793,6.176333101947052,11.48706373910034,13.756212665886311
1.24,5.0,eval_signal_zero_5GeV,10.42291995958287,24.499304643193447,6.332237171312363,39.41195010082602,21.744531176556446,4.3899791964003185,26.541819185086883,27.132811173592355
0.33,0.5,eval_signal_neg_91_0.5GeV,0.0743494365121715,0.02615559948874016,0.08022078907614907,0.009526279441628824,0.02079309840251016,5.402803908061583,0.03260957858336436,1.490761047250699
0.66,0.5,eval_signal_neg_58_0.5GeV,0.017420788471471143,0.02615559948874016,0.01990210416011332,0.0069282032302755096,0.019901965613831153,1.3264176281013198,0.026495282598983542,0.17799029595611512
1.0,0.5,eval_signal_neg_24_0.5GeV,0.0090214797441547,0.024796867047766645,0.009185586535436916,0.008660254037844387,0.014555168881757112,0.019941293147982986,0.019701620394115965,0.024002840740969884
1.04,0.5,eval_signal_neg_20_0.5GeV,0.06563904227643592,0.0020380986614602723,0.06889189901577687,0.0008660254037844387,0.002079309840251016,0.019619659387531647,0.014946056850708664,0.015509527863395926
1.08,0.5,eval_signal_neg_16_0.5GeV,1.421660773475413,0.14538437118416608,1.3392585168667026,0.05022947341949744,0.1428782904515341,0.02991193972197448,0.2615559948874016,0.28544916758107264
1.16,0.5,eval_signal_neg_8_0.5GeV,1.6982157904600177,11.452416061855514,0.9963299528770576,8.486182931683713,10.539427491706615,0.03988258629596597,11.508124091935427,12.69713347750013
1.24,0.5,eval_signal_zero_0.5GeV,0.9478775441530818,24.472129994373976,0.48408041041752553,39.65876734090458,21.717797192896075,0.08201660891509131,26.515663585598144,26.720700861793553
0.33,0.05,eval_signal_neg_91_0.05GeV,0.00528845364312517,0.023438134606793132,0.005205165703414253,0.007794228634059948,0.01811970003647314,0.015438420501664246,0.022079402165819616,0.025479938632721875
0.66,0.05,eval_signal_neg_58_0.05GeV,0.006843881185220808,0.033628627914094496,0.006429910574805842,0.008660254037844387,0.023763541031440186,0.01447351922031023,0.027854015039957054,0.03138833019972985
1.0,0.05,eval_signal_neg_24_0.05GeV,0.004977368134706042,0.030231796811660706,0.005205165703414253,0.0069282032302755096,0.021387186928296168,0.01447351922031023,0.027514331929713677,0.03138833019972985
1.04,0.05,eval_signal_neg_20_0.05GeV,0.06252818719224465,0.002377781771703651,0.06521766440160211,0.0017320508075688774,0.0023763541031440187,0.015760054262115585,0.01766352173265569,0.014032429971643933
1.08,0.05,eval_signal_neg_16_0.05GeV,1.2536745989290843,0.15693359693244097,1.1782045662787086,0.05802370205355739,0.15654232654461223,0.01833312434572629,0.2734449037459199,0.2998508720256546
1.16,0.05,eval_signal_neg_8_0.05GeV,1.4546358373678407,11.403841377090712,0.8710997897772677,8.322504130368456,10.507643755577064,0.02894703844062046,11.450717646304298,12.642111581032369
1.24,0.05,eval_signal_zero_0.05GeV,0.7994897566371579,24.4887744667759,0.4127390216589655,39.84409677731445,21.745422309345127,0.06368348456936501,26.519739782921064,26.742118781223958
0.33,0.005,eval_signal_neg_91_low,0.004977368134706042,0.0271746488194703,0.00551135192126215,0.009526279441628824,0.018416744299366142,0.014151885459858893,0.02411750082727989,0.026957036524473867
0.66,0.005,eval_signal_neg_58_low,0.007154966693639935,0.0271746488194703,0.007042283010501637,0.002598076211353316,0.018416744299366142,0.01479515298076157,0.025136550158010026,0.02917268336210186
1.0,0.005,eval_signal_neg_24_low,0.008399308727316446,0.026495282598983542,0.008267027881893225,0.010392304845413263,0.01901083282515215,0.01479515298076157,0.02411750082727989,0.027326310997411868
1.04,0.005,eval_signal_neg_20_low,0.05848407558279599,0.002377781771703651,0.06215580222312314,0.0,0.002673398366037021,0.0125437166576022,0.018342887953142453,0.01661735128220992
1.08,0.005,eval_signal_neg_16_low,1.2418533496091573,0.14130817386124553,1.1717746557039026,0.038105117766515297,0.13990784782260407,0.020584560668885664,0.2632544104386185,0.2924653825668946
1.16,0.005,eval_signal_neg_8_low,1.4904106708360405,11.44188588543797,0.879060631441313,8.480986779261007,10.530516163819824,0.02701723587791243,11.494876450635935,12.670545715448593
1.24,0.005,eval_signal_zero_low,0.8184659726507247,24.51662848181586,0.42253698063009815,39.60074363885102,21.75849225691242,0.07333249738290516,26.565257319693675,26.767967994329613
