stem,z_m,m_chi_GeV,A_dom,D_dom,flipped,significant,A_p_raw,A_p_L,A_p_S,A_p_occ,A_p_comb,D_p_raw,D_p_L,D_p_S,D_p_occ,D_p_comb
eval_signal_neg_91_low,0.33,0.005,p_occ,p_comb,1,0,0.0052,0.0044,0.0047,0.0095,0.0076,0.004732863826479692,0.024987801902176972,0.0049497474683058325,0.009838699100999075,0.027712812921102038
eval_signal_neg_91_0.05GeV,0.33,0.05,p_occ,p_comb,1,0,0.007,0.0038,0.0065,0.0078,0.0072,0.004394802124588286,0.021551979140627637,0.004596194077712558,0.008049844718999243,0.025403411844343533
eval_signal_neg_91_0.5GeV,0.33,0.5,p_raw,p_S,1,0,0.5528,0.0047,0.4533,0.0095,0.1315,0.03549647869859769,0.02405075933084533,0.04171930009000631,0.009838699100999075,0.0388749181254348
eval_signal_neg_91_5GeV,0.33,5.0,p_raw,p_comb,1,1,34.6468,0.0082,33.8459,0.0191,33.5031,28.797786075619474,0.038731092948374304,30.050623986865897,0.01967739820199815,31.36282132291885
eval_signal_neg_58_low,0.66,0.005,p_raw,p_comb,1,0,0.0081,0.0025,0.0076,0.0026,0.0069,0.005747048932153913,0.024987801902176972,0.006010407640085654,0.0026832815729997475,0.028482613280021538
eval_signal_neg_58_0.05GeV,0.66,0.05,p_occ,p_comb,1,0,0.0055,0.0047,0.0054,0.0087,0.0069,0.005408987230262507,0.030922404853944,0.005656854249492381,0.00894427190999916,0.03117691453623979
eval_signal_neg_58_0.5GeV,0.66,0.5,p_raw,p_comb,1,0,0.0517,0.0028,0.0423,0.0069,0.0134,0.011494097864307827,0.02405075933084533,0.013081475451951128,0.007155417527999327,0.03002221399786054
eval_signal_neg_58_5GeV,0.66,5.0,p_raw,p_S,1,1,31.0028,0.0028,30.1953,0.0069,29.6315,21.63527279764624,0.027798929616171877,22.403971255114573,0.007155417527999327,20.736497168394056
eval_signal_neg_24_low,1.0,0.005,p_occ,p_comb,1,0,0.0103,0.0044,0.0094,0.0104,0.0094,0.00811348084539376,0.024363106854622545,0.00848528137423857,0.01073312629199899,0.028097713100561784
eval_signal_neg_24_0.05GeV,1.0,0.05,p_comb,p_comb,0,0,0.0059,0.0028,0.0058,0.0069,0.0072,0.005408987230262507,0.027798929616171877,0.005656854249492381,0.007155417527999327,0.03156181471569954
eval_signal_neg_24_0.5GeV,1.0,0.5,p_comb,p_comb,0,0,0.0089,0.0035,0.0083,0.0087,0.009,0.007437357441610946,0.022801369235736484,0.008131727983645297,0.00894427190999916,0.02347891094704478
eval_signal_neg_24_5GeV,1.0,5.0,p_raw,p_comb,1,0,0.716,0.0063,0.6187,0.0139,0.238,0.03887709571751176,0.034358227615493335,0.04560838738653231,0.014310835055998655,0.04695782189408956
eval_signal_neg_20_low,1.04,0.005,p_raw,p_S,1,0,0.0535,0.0006,0.052,0.0,0.0249,0.036848725506163325,0.0021864326664404847,0.03995153313703993,0.0,0.02193931022920578
eval_signal_neg_20_0.05GeV,1.04,0.05,p_raw,p_S,1,0,0.0547,0.0016,0.0527,0.0017,0.0242,0.035158416996706285,0.0021864326664404847,0.04136574669941303,0.0017888543819998318,0.020784609690826527
eval_signal_neg_20_0.5GeV,1.04,0.5,p_raw,p_S,1,0,0.0587,0.0009,0.0553,0.0009,0.0231,0.03448229359292348,0.0018740851426632728,0.03853731957466684,0.0008944271909999159,0.018090308434608272
eval_signal_neg_20_5GeV,1.04,5.0,p_S,p_S,0,0,2.5997,0.0003,2.6209,0.0,1.0968,0.4935700847614537,0.0009370425713316364,0.567099638511611,0.0,0.10507774899251188
