z_m,m_chi_GeV,stem,raw_LL,T_occ_raw,T_occ_simple,p_raw,p_L,p_S,p_occ,p_Bonf,p_comb
0.33,5.0,eval_signal_neg_91_5GeV,29.4923,0.0051,0.0009,34.6468,0.0082,33.8459,0.0191,41.3828,33.5031
0.66,5.0,eval_signal_neg_58_5GeV,26.3319,0.0018,0.0000,31.0028,0.0028,30.1953,0.0069,22.0137,29.6315
1.0,5.0,eval_signal_neg_24_5GeV,0.5346,0.0037,0.0000,0.7160,0.0063,0.6187,0.0139,0.0125,0.2380
1.04,5.0,eval_signal_neg_20_5GeV,1.9846,0.0000,0.0000,2.5997,0.0003,2.6209,0.0000,0.0078,1.0968
1.08,5.0,eval_signal_neg_16_5GeV,21.4289,0.0118,0.0233,26.6284,0.0449,25.2092,0.0442,0.0418,13.9988
1.16,5.0,eval_signal_neg_8_5GeV,17.1247,2.2037,4.3612,21.8345,6.8473,18.7455,8.2714,3.0263,12.8157
1.24,5.0,eval_signal_zero_5GeV,15.7509,10.5235,20.8267,19.2200,23.1074,13.6604,39.4120,24.6290,26.9691
0.33,0.5,eval_signal_neg_91_0.5GeV,0.3990,0.0025,0.0000,0.5528,0.0047,0.4533,0.0095,0.0073,0.1315
0.66,0.5,eval_signal_neg_58_0.5GeV,0.0352,0.0018,0.0000,0.0517,0.0028,0.0423,0.0069,0.0063,0.0134
1.0,0.5,eval_signal_neg_24_0.5GeV,0.0069,0.0023,0.0000,0.0089,0.0035,0.0083,0.0087,0.0078,0.0090
1.04,0.5,eval_signal_neg_20_0.5GeV,0.0425,0.0002,0.0005,0.0587,0.0009,0.0553,0.0009,0.0089,0.0231
1.08,0.5,eval_signal_neg_16_0.5GeV,0.7870,0.0134,0.0265,1.1484,0.0585,0.9578,0.0502,0.0298,0.3301
1.16,0.5,eval_signal_neg_8_0.5GeV,0.9600,2.2602,4.4731,1.4446,7.0168,0.7494,8.4862,3.1710,8.1275
1.24,0.5,eval_signal_zero_0.5GeV,0.7923,10.5851,20.9486,1.0812,23.2317,0.4269,39.6588,24.6604,26.5035
0.33,0.05,eval_signal_neg_91_0.05GeV,0.0057,0.0021,0.0000,0.0070,0.0038,0.0065,0.0078,0.0063,0.0072
0.66,0.05,eval_signal_neg_58_0.05GeV,0.0050,0.0023,0.0000,0.0055,0.0047,0.0054,0.0087,0.0073,0.0069
1.0,0.05,eval_signal_neg_24_0.05GeV,0.0053,0.0018,0.0000,0.0059,0.0028,0.0058,0.0069,0.0073,0.0072
1.04,0.05,eval_signal_neg_20_0.05GeV,0.0418,0.0005,0.0009,0.0547,0.0016,0.0527,0.0017,0.0099,0.0242
1.08,0.05,eval_signal_neg_16_0.05GeV,0.7017,0.0155,0.0306,1.0188,0.0632,0.8559,0.0580,0.0397,0.3157
1.16,0.05,eval_signal_neg_8_0.05GeV,0.8559,2.2166,4.3868,1.2740,7.0095,0.6851,8.3225,3.1125,8.1167
1.24,0.05,eval_signal_zero_0.05GeV,0.6375,10.6342,21.0458,0.9276,23.3063,0.3579,39.8441,24.8275,26.5888
0.33,0.005,eval_signal_neg_91_low,0.0050,0.0025,0.0000,0.0052,0.0044,0.0047,0.0095,0.0057,0.0076
0.66,0.005,eval_signal_neg_58_low,0.0072,0.0007,0.0000,0.0081,0.0025,0.0076,0.0026,0.0042,0.0069
1.0,0.005,eval_signal_neg_24_low,0.0088,0.0028,0.0000,0.0103,0.0044,0.0094,0.0104,0.0084,0.0094
1.04,0.005,eval_signal_neg_20_low,0.0409,0.0000,0.0000,0.0535,0.0006,0.0520,0.0000,0.0063,0.0249
1.08,0.005,eval_signal_neg_16_low,0.7039,0.0101,0.0201,1.0218,0.0490,0.8520,0.0381,0.0235,0.3066
1.16,0.005,eval_signal_neg_8_low,0.8559,2.2593,4.4712,1.2773,7.0332,0.6815,8.4810,3.1491,8.1235
1.24,0.005,eval_signal_zero_low,0.6573,10.5687,20.9162,0.9409,23.2794,0.3745,39.6007,24.6656,26.5758
