stem,z_m,m_chi_GeV,raw,L,S,occ,comb
eval_signal_neg_91_5GeV,0.33,5.0,27.711333333333332,0.01841903552212269,27.317715698137825,0.019052558883257648,22.66685361283922
eval_signal_neg_58_5GeV,0.66,5.0,16.256,0.011195884336976535,16.292365902909427,0.0069282032302755096,8.808253527566198
eval_signal_neg_24_5GeV,1.0,5.0,0.058,0.013723987251777689,0.05826417669300996,0.013856406460551019,0.02079309840251016
eval_signal_neg_20_5GeV,1.04,5.0,1.3690000000000002,0.0,1.3541511178594507,0.0,0.15624528228171922
eval_signal_neg_16_5GeV,1.08,5.0,19.248666666666665,0.0,19.17218740035382,0.04416729559300637,2.1366393829893653
eval_signal_neg_8_5GeV,1.16,5.0,12.166666666666666,0.0,14.053123022252791,8.27487273316031,1.286795746852486
eval_signal_zero_5GeV,1.24,5.0,5.606333333333334,0.0,8.67186984903322,39.51587314928015,0.5908210388941816
eval_signal_neg_91_0.5GeV,0.33,0.5,0.023,0.010834726777719227,0.0229128784747792,0.009526279441628824,0.013961080355971107
eval_signal_neg_58_0.5GeV,0.66,0.5,0.012000000000000002,0.009390096540689997,0.012765746578805554,0.0069282032302755096,0.011287681989934089
eval_signal_neg_24_0.5GeV,1.0,0.5,0.009333333333333332,0.007945466303660767,0.00916515138991168,0.008660254037844387,0.01039654920125508
eval_signal_neg_20_0.5GeV,1.04,0.5,0.07066666666666667,0.0,0.06972061593039956,0.0008660254037844387,0.013069947567292102
eval_signal_neg_16_0.5GeV,1.08,0.5,1.2753333333333334,0.0,1.2978509021785647,0.05022947341949744,0.12089701499745194
eval_signal_neg_8_0.5GeV,1.16,0.5,0.7523333333333334,0.0,1.0402446827549758,8.487048957087499,0.09505416412576075
eval_signal_zero_0.5GeV,1.24,0.5,0.35000000000000003,0.0,0.6098098942644807,39.747101932090594,0.05822067552702845
eval_signal_neg_91_0.05GeV,0.33,0.05,0.006000000000000001,0.009751254099947305,0.006546536707079772,0.007794228634059948,0.009802460675469075
eval_signal_neg_58_0.05GeV,0.66,0.05,0.005666666666666667,0.011195884336976535,0.005564556201017807,0.008660254037844387,0.011287681989934089
eval_signal_neg_24_0.05GeV,1.0,0.05,0.006000000000000001,0.007945466303660767,0.005891883036371795,0.0069282032302755096,0.009505416412576075
eval_signal_neg_20_0.05GeV,1.04,0.05,0.06766666666666667,0.0,0.06775665491827562,0.0017320508075688774,0.013069947567292102
eval_signal_neg_16_0.05GeV,1.08,0.05,1.1293333333333333,0.0,1.1489171920924999,0.05802370205355739,0.11970883794587991
eval_signal_neg_8_0.05GeV,1.16,0.05,0.6783333333333333,0.0,0.9381187101245313,8.32337015577224,0.08733101329054267
eval_signal_zero_0.05GeV,1.24,0.05,0.30300000000000005,0.0,0.5148851120118241,39.93156534309668,0.05346796732074041
eval_signal_neg_91_low,0.33,0.005,0.007,0.01047356921846192,0.007201190377787749,0.009526279441628824,0.010693593464148084
eval_signal_neg_58_low,0.66,0.005,0.006666666666666667,0.009390096540689997,0.007201190377787749,0.002598076211353316,0.01039654920125508
eval_signal_neg_24_low,1.0,0.005,0.008333333333333333,0.009390096540689997,0.008510497719203702,0.010392304845413263,0.010693593464148084
eval_signal_neg_20_low,1.04,0.005,0.06433333333333334,0.0,0.06448338656473575,0.0,0.014258124618864111
eval_signal_neg_16_low,1.08,0.005,1.1116666666666666,0.0,1.1332055039955085,0.038105117766515297,0.129511298621349
eval_signal_neg_8_low,1.16,0.005,0.686,0.0,0.9292808855699736,8.483584855472362,0.07901377392953861
eval_signal_zero_low,1.24,0.005,0.30533333333333335,0.0,0.5197950145421338,39.685614128421896,0.06000294110438647
