stem,z_m,m_chi_GeV,SIC_comb_cauchy
eval_signal_neg_91_5GeV,0.33,5.0,0.02
eval_signal_neg_58_5GeV,0.66,5.0,0.008
eval_signal_neg_24_5GeV,1.0,5.0,0.016
eval_signal_neg_20_5GeV,1.04,5.0,0.0
eval_signal_neg_16_5GeV,1.08,5.0,0.001
eval_signal_neg_8_5GeV,1.16,5.0,0.27
eval_signal_zero_5GeV,1.24,5.0,0.151
eval_signal_neg_91_0.5GeV,0.33,0.5,0.011
eval_signal_neg_58_0.5GeV,0.66,0.5,0.008
eval_signal_neg_24_0.5GeV,1.0,0.5,0.01
eval_signal_neg_20_0.5GeV,1.04,0.5,0.0
eval_signal_neg_16_0.5GeV,1.08,0.5,0.0
eval_signal_neg_8_0.5GeV,1.16,0.5,0.0
eval_signal_zero_0.5GeV,1.24,0.5,0.009000000000000001
eval_signal_neg_91_0.05GeV,0.33,0.05,0.009000000000000001
eval_signal_neg_58_0.05GeV,0.66,0.05,0.01
eval_signal_neg_24_0.05GeV,1.0,0.05,0.008
eval_signal_neg_20_0.05GeV,1.04,0.05,0.0
eval_signal_neg_16_0.05GeV,1.08,0.05,0.0
eval_signal_neg_8_0.05GeV,1.16,0.05,0.0
eval_signal_zero_0.05GeV,1.24,0.05,0.008
eval_signal_neg_91_low,0.33,0.005,0.011
eval_signal_neg_58_low,0.66,0.005,0.003
eval_signal_neg_24_low,1.0,0.005,0.012
eval_signal_neg_20_low,1.04,0.005,0.0
eval_signal_neg_16_low,1.08,0.005,0.0
eval_signal_neg_8_low,1.16,0.005,0.001
eval_signal_zero_low,1.24,0.005,0.01
