z_m,m_chi_GeV,stem,raw_LL,T_occ_raw,T_occ_simple,p_raw,p_L,p_S,p_occ,p_Bonf,p_comb
0.33,5.0,eval_signal_neg_91_5GeV,26.9716,0.0052,0.0009,26.6746,0.0392,27.0448,0.0191,33.9122,26.0996
0.66,5.0,eval_signal_neg_58_5GeV,20.6104,0.0019,0.0000,21.1082,0.0281,21.2453,0.0069,10.7204,17.0273
1.0,5.0,eval_signal_neg_24_5GeV,0.0434,0.0038,0.0000,0.0661,0.0348,0.0747,0.0139,0.0115,0.0389
1.04,5.0,eval_signal_neg_20_5GeV,0.5790,0.0000,0.0000,0.9348,0.0009,1.0496,0.0000,0.0052,0.0762
1.08,5.0,eval_signal_neg_16_5GeV,10.1581,0.0120,0.0233,16.3562,0.1167,16.2975,0.0442,0.0507,0.9466
1.16,5.0,eval_signal_neg_8_5GeV,8.3847,2.2459,4.3612,13.3956,10.4254,11.0998,8.2714,4.7847,10.8741
1.24,5.0,eval_signal_zero_5GeV,6.2246,10.7251,20.8267,10.4342,22.4945,6.4248,39.4085,2.0529,25.0090
0.33,0.5,eval_signal_neg_91_0.5GeV,0.0406,0.0026,0.0000,0.0735,0.0243,0.0815,0.0095,0.0078,0.0312
0.66,0.5,eval_signal_neg_58_0.5GeV,0.0120,0.0019,0.0000,0.0171,0.0243,0.0202,0.0069,0.0063,0.0251
1.0,0.5,eval_signal_neg_24_0.5GeV,0.0079,0.0024,0.0000,0.0092,0.0231,0.0096,0.0087,0.0063,0.0190
1.04,0.5,eval_signal_neg_20_0.5GeV,0.0378,0.0002,0.0005,0.0652,0.0019,0.0700,0.0009,0.0084,0.0142
1.08,0.5,eval_signal_neg_16_0.5GeV,0.6904,0.0136,0.0265,1.3993,0.1353,1.3610,0.0502,0.0386,0.2486
1.16,0.5,eval_signal_neg_8_0.5GeV,0.7215,2.3035,4.4731,1.6724,10.6547,1.0126,8.4862,4.8213,10.8950
1.24,0.5,eval_signal_zero_0.5GeV,0.4339,10.7879,20.9486,0.9486,22.4417,0.4943,39.6536,1.9009,24.9842
0.33,0.05,eval_signal_neg_91_0.05GeV,0.0041,0.0021,0.0000,0.0049,0.0218,0.0050,0.0078,0.0073,0.0209
0.66,0.05,eval_signal_neg_58_0.05GeV,0.0057,0.0024,0.0000,0.0064,0.0313,0.0065,0.0087,0.0073,0.0264
1.0,0.05,eval_signal_neg_24_0.05GeV,0.0050,0.0019,0.0000,0.0052,0.0281,0.0053,0.0069,0.0068,0.0261
1.04,0.05,eval_signal_neg_20_0.05GeV,0.0390,0.0005,0.0009,0.0622,0.0022,0.0669,0.0017,0.0084,0.0170
1.08,0.05,eval_signal_neg_16_0.05GeV,0.6013,0.0157,0.0306,1.2339,0.1461,1.1971,0.0580,0.0533,0.2589
1.16,0.05,eval_signal_neg_8_0.05GeV,0.6441,2.2591,4.3868,1.4320,10.6110,0.8847,8.3225,4.7800,10.8403
1.24,0.05,eval_signal_zero_0.05GeV,0.3726,10.8379,21.0458,0.8001,22.4481,0.4181,39.8415,1.8508,24.9868
0.33,0.005,eval_signal_neg_91_low,0.0053,0.0026,0.0000,0.0061,0.0253,0.0059,0.0095,0.0063,0.0228
0.66,0.005,eval_signal_neg_58_low,0.0057,0.0007,0.0000,0.0067,0.0253,0.0068,0.0026,0.0052,0.0238
1.0,0.005,eval_signal_neg_24_low,0.0079,0.0028,0.0000,0.0086,0.0247,0.0087,0.0104,0.0084,0.0232
1.04,0.005,eval_signal_neg_20_low,0.0396,0.0000,0.0000,0.0579,0.0022,0.0632,0.0000,0.0047,0.0174
1.08,0.005,eval_signal_neg_16_low,0.6085,0.0103,0.0201,1.2226,0.1312,1.1905,0.0381,0.0386,0.2493
1.16,0.005,eval_signal_neg_8_low,0.6340,2.3026,4.4712,1.4679,10.6458,0.8931,8.4810,4.8265,10.8838
1.24,0.005,eval_signal_zero_low,0.3829,10.7712,20.9162,0.8135,22.4705,0.4299,39.5990,1.8732,25.0183
