stem,z_m,m_chi_GeV,raw,L,S,occ,comb
eval_signal_neg_91_5GeV,0.33,5.0,28.020411576760157,0.04133333333333333,27.49189329420584,0.019052558883257648,26.481776075195075
eval_signal_neg_58_5GeV,0.66,5.0,22.173431445515273,0.029666666666666668,21.596775280119946,0.0069282032302755096,19.853788232817145
eval_signal_neg_24_5GeV,1.0,5.0,0.07172432858064848,0.03666666666666667,0.07874071373819265,0.013856406460551019,0.06688338431011244
eval_signal_neg_20_5GeV,1.04,5.0,0.9832344056997416,0.001,1.0685336213708954,0.0,0.4759608278812652
eval_signal_neg_16_5GeV,1.08,5.0,17.18199711707095,0.12366666666666667,16.56717266162214,0.04416729559300637,7.467918715109577
eval_signal_neg_8_5GeV,1.16,5.0,14.087880341529075,11.043,11.302296585207806,8.27487273316031,12.569098882166433
eval_signal_zero_5GeV,1.24,5.0,11.552119774130723,26.866000000000003,7.074331353562681,39.51587314928015,25.446794588684636
eval_signal_neg_91_0.5GeV,0.33,0.5,0.07847863755012659,0.025666666666666667,0.08443281352649573,0.009526279441628824,0.055373220498604714
eval_signal_neg_58_0.5GeV,0.66,0.5,0.01897639186662897,0.025666666666666667,0.021819715855161816,0.0069282032302755096,0.030486379825074503
eval_signal_neg_24_0.5GeV,1.0,0.5,0.009970646573991493,0.024333333333333332,0.010119288512538816,0.008660254037844387,0.02333141313143457
eval_signal_neg_20_0.5GeV,1.04,0.5,0.06947289225748911,0.002,0.07209993065183905,0.0008660254037844387,0.03390832041768491
eval_signal_neg_16_0.5GeV,1.08,0.5,1.4711528203044222,0.14333333333333334,1.3844451596217164,0.05022947341949744,0.62403752988877
eval_signal_neg_8_0.5GeV,1.16,0.5,1.75901503590837,11.292333333333334,1.0305862894488749,8.487048957087499,10.763558591301814
eval_signal_zero_0.5GeV,1.24,0.5,1.0797245338351433,26.99266666666667,0.556244640423618,39.747101932090594,25.266053908293124
eval_signal_neg_91_0.05GeV,0.33,0.05,0.005789407688124092,0.023,0.005692099788303083,0.007794228634059948,0.02302032762301544
eval_signal_neg_58_0.05GeV,0.66,0.05,0.007719210250832123,0.033,0.007589466384404111,0.008660254037844387,0.029242037791397994
eval_signal_neg_24_0.05GeV,1.0,0.05,0.006111041448575431,0.029666666666666668,0.0060083275543199215,0.0069282032302755096,0.02893095228297887
eval_signal_neg_20_0.05GeV,1.04,0.05,0.0659349208925244,0.002333333333333333,0.06862142522565384,0.0017320508075688774,0.03639700448503793
eval_signal_neg_16_0.05GeV,1.08,0.05,1.296184054618894,0.15433333333333332,1.2168444436327925,0.05802370205355739,0.5723973354911948
eval_signal_neg_8_0.05GeV,1.16,0.05,1.5068541677145209,11.249,0.9015653609140051,8.32337015577224,10.717517936055785
eval_signal_zero_0.05GeV,1.24,0.05,0.8922120514920129,27.007,0.4654872715767855,39.93156534309668,25.278808414138307
eval_signal_neg_91_low,0.33,0.005,0.0064326752090267695,0.02666666666666667,0.007273238618387273,0.009526279441628824,0.02488684067353021
eval_signal_neg_58_low,0.66,0.005,0.0083624777717348,0.02666666666666667,0.008221921916437787,0.002598076211353316,0.02582009719878759
eval_signal_neg_24_low,1.0,0.005,0.009970646573991493,0.026,0.009803060746521977,0.010392304845413263,0.027997695757721482
eval_signal_neg_20_low,1.04,0.005,0.061753682006656985,0.002333333333333333,0.06514291979946862,0.0,0.03701917550187619
eval_signal_neg_16_low,1.08,0.005,1.284605239242646,0.13866666666666666,1.2105198883124557,0.038105117766515297,0.5783079601511582
eval_signal_neg_8_low,1.16,0.005,1.5425555151246193,11.284666666666668,0.9094710550644259,8.483584855472362,10.752048427490307
eval_signal_zero_low,1.24,0.005,0.916977851046766,27.030333333333335,0.4756065600893243,39.685614128421896,25.305561767862354
