stem,z_m,m_chi_GeV,SIC_comb_evalue
eval_signal_neg_91_5GeV,0.33,5.0,33.0354516643358
eval_signal_neg_58_5GeV,0.66,5.0,21.360775301940706
eval_signal_neg_24_5GeV,1.0,5.0,0.020412414523193152
eval_signal_neg_20_5GeV,1.04,5.0,0.08205790638323648
eval_signal_neg_16_5GeV,1.08,5.0,1.1259487850993344
eval_signal_neg_8_5GeV,1.16,5.0,11.028011070300332
eval_signal_zero_5GeV,1.24,5.0,24.015205686536746
eval_signal_neg_91_0.5GeV,0.33,0.5,0.016738179909018384
eval_signal_neg_58_0.5GeV,0.66,0.5,0.009797958971132713
eval_signal_neg_24_0.5GeV,1.0,0.5,0.008164965809277261
eval_signal_neg_20_0.5GeV,1.04,0.5,0.015105186747162934
eval_signal_neg_16_0.5GeV,1.08,0.5,0.18167048925641907
eval_signal_neg_8_0.5GeV,1.16,0.5,5.5709561716698754
eval_signal_zero_0.5GeV,1.24,0.5,17.066819782841794
eval_signal_neg_91_0.05GeV,0.33,0.05,0.006531972647421809
eval_signal_neg_58_0.05GeV,0.66,0.05,0.006531972647421809
eval_signal_neg_24_0.05GeV,1.0,0.05,0.006531972647421809
eval_signal_neg_20_0.05GeV,1.04,0.05,0.01755467648994611
eval_signal_neg_16_0.05GeV,1.08,0.05,0.1800374960945636
eval_signal_neg_8_0.05GeV,1.16,0.05,5.324782452520165
eval_signal_zero_0.05GeV,1.24,0.05,16.928423612374544
eval_signal_neg_91_low,0.33,0.005,0.007348469228349535
eval_signal_neg_58_low,0.66,0.005,0.0057154760664940825
eval_signal_neg_24_low,1.0,0.005,0.007756717518813398
eval_signal_neg_20_low,1.04,0.005,0.016329931618554522
eval_signal_neg_16_low,1.08,0.005,0.1800374960945636
eval_signal_neg_8_low,1.16,0.005,5.3631577918237685
eval_signal_zero_low,1.24,0.005,16.853305926929195
