stem,mode,AUC,SIC_at_1e-2,SIC_at_1e-3,eps_B_at_1e-2,eps_B_at_1e-3,eps_S_at_1e-3,feature_dim,n_bg_train,n_sig_train
zero_5GeV,full,0.99999994,10.0,31.622776601683796,0.01,0.001,1.0,504,80000,80000
zero_5GeV,label_shuffle,0.50297301,0.0,0.0,0.01,0.001,0.0,504,80000,80000
zero_5GeV,metadata_only,0.961913575,1.7449999999999999,0.48296948538134776,0.01,0.00105,0.01565,3,80000,80000
zero_5GeV,voxel_only,0.99999994,10.0,31.622776601683796,0.01,0.001,1.0,504,80000,80000
zero_5GeV,occupancy_only,0.98079902,5.611,14.276145938492746,0.01,0.00105,0.4626,4,80000,80000
zero_5GeV,cross_file_split,0.9999967632,10.0,31.62214414615176,0.01,0.001,0.99998,504,50000,50000
neg_8_5GeV,full,0.9998570425,10.0,31.587991547421943,0.01,0.001,0.9989,504,80000,80000
neg_8_5GeV,label_shuffle,0.4884774775,0.0,0.0,0.01,0.001,0.0,504,80000,80000
neg_8_5GeV,metadata_only,0.98644736,5.369,1.7439961295828612,0.01,0.001,0.05515,3,80000,80000
neg_8_5GeV,voxel_only,0.9998570425,10.0,31.587991547421943,0.01,0.001,0.9989,504,80000,80000
neg_8_5GeV,occupancy_only,0.9880402,5.637499999999999,4.436675557216237,0.01,0.001,0.1403,4,80000,80000
neg_8_5GeV,cross_file_split,0.999956884,10.0,31.574077525717204,0.01,0.001,0.99846,504,50000,50000
neg_91_5GeV,full,0.9998825225,9.982999999999999,31.52316485538849,0.01,0.001,0.99685,504,80000,80000
neg_91_5GeV,label_shuffle,0.5142320325,0.0055,0.0,0.01,0.001,0.0,504,80000,80000
neg_91_5GeV,metadata_only,0.9858882,4.89,1.530689231623952,0.01,0.00105,0.0496,3,80000,80000
neg_91_5GeV,voxel_only,0.9998825225,9.982999999999999,31.52316485538849,0.01,0.001,0.99685,504,80000,80000
neg_91_5GeV,occupancy_only,0.9855800375,4.5649999999999995,1.559002886463011,0.01,0.001,0.0493,4,80000,80000
neg_91_5GeV,cross_file_split,0.999791656,9.9712,31.450748696970635,0.01,0.001,0.99456,504,50000,50000
