stem,z_m,m_chi_GeV,dom4,dom5,mean_znorm2II_bg,mean_znorm2II_sig,shift_over_d_II,sic_S,sic_shellII,ratio_shellII_over_S
eval_signal_neg_91_5GeV,0.33,5.0,comb4,shellII,503.85400390625,1275.1778564453125,1.5304044,30.050623986865897,31.56439523793925,1.050374037215832
eval_signal_neg_58_5GeV,0.66,5.0,S,shellII,503.85400390625,966.2052001953125,0.91736346,22.40467836189576,31.388547217433505,1.400981826671382
eval_signal_neg_24_5GeV,1.0,5.0,S,shellII,503.85400390625,657.853515625,0.3055546,0.04879036790187177,16.71951299026317,342.6806090884539
eval_signal_neg_20_5GeV,1.04,5.0,S,shellII,503.85400390625,645.9544677734375,0.28194538,0.5685138520739842,14.963303885101537,26.320033945548033
eval_signal_neg_16_5GeV,1.08,5.0,S,shellII,503.85400390625,626.291015625,0.24293058,8.678321525502499,12.250961723795186,1.4116740993974433
eval_signal_neg_8_5GeV,1.16,5.0,comb4,L,503.85400390625,603.2970581054688,0.19730765,5.291280043618935,9.475028765405579,1.790687449406892
eval_signal_neg_91_0.5GeV,0.33,0.5,S,shellII,503.85400390625,604.1900634765625,0.19907948,0.0431335136523794,8.383927486880069,194.37154029341593
eval_signal_neg_58_0.5GeV,0.66,0.5,comb4,shellII,503.85400390625,563.4003295898438,0.11814747,0.013435028842544404,2.839199312630606,211.3281144317143
eval_signal_neg_8_0.5GeV,1.16,0.5,comb4,L,503.85400390625,502.33062744140625,-0.0030225723,0.393858477120907,0.1307504654313946,0.33197321633693494
eval_signal_neg_8_0.05GeV,1.16,0.05,comb4,L,503.85400390625,499.0505676269531,-0.009530627,0.3620386719675124,0.09798173836298057,0.2706388735504283
eval_signal_neg_8_low,1.16,0.005,comb4,L,503.85400390625,498.492431640625,-0.0106380405,0.35779603128039306,0.09279065288679618,0.2593395252449829
