seed,stem,z_m,m_chi_GeV,SIC_T_raw,SICm_T_raw,epsB_T_raw,AUC_T_raw,SIC_T_I,SICm_T_I,epsB_T_I,AUC_T_I,SIC_T_S,SICm_T_S,epsB_T_S,AUC_T_S,SIC_Typ_I,SICm_Typ_I,epsB_Typ_I,AUC_Typ_I,SIC_Typ_II,SICm_Typ_II,epsB_Typ_II,AUC_Typ_II,SIC_Typ_tot,SICm_Typ_tot,epsB_Typ_tot,AUC_Typ_tot,SIC_V_I,SICm_V_I,epsB_V_I,AUC_V_I,SIC_V_II,SICm_V_II,epsB_V_II,AUC_V_II,SIC_M,SICm_M,epsB_M,AUC_M
001,eval_signal_neg_91_5GeV,0.33000,5.00000,27.10146,27.10146,0.00103,0.98834,0.04212,0.03797,0.00087,0.58426,26.61891,26.61891,0.00107,0.98778,0.03357,0.03257,0.00113,0.55275,30.81412,29.80355,0.00097,0.99884,37.07878,30.28766,0.00067,0.99878,0.04943,0.04553,0.00093,0.73585,22.98190,19.02800,0.00077,0.97277,0.04099,0.04016,0.00113,0.55308
001,eval_signal_neg_58_5GeV,0.66000,5.00000,21.44623,21.44623,0.00103,0.97819,0.03023,0.02725,0.00087,0.58955,20.91099,20.91099,0.00107,0.97673,0.02406,0.02087,0.00113,0.55823,30.83503,29.82377,0.00097,0.99787,37.13068,30.32561,0.00067,0.99774,0.05074,0.04673,0.00093,0.73670,11.59749,9.90763,0.00077,0.94221,0.02406,0.02087,0.00113,0.55823
001,eval_signal_neg_24_5GeV,1.00000,5.00000,0.06688,0.06688,0.00103,0.74487,0.03737,0.03368,0.00087,0.59146,0.07348,0.07348,0.00107,0.73568,0.02495,0.02277,0.00113,0.55997,12.48389,12.07447,0.00097,0.97564,15.55042,12.80027,0.00067,0.97561,0.05204,0.04794,0.00093,0.73836,0.01553,0.01581,0.00077,0.58523,0.02495,0.02277,0.00113,0.55997
001,eval_signal_neg_20_5GeV,1.04000,5.00000,0.94850,0.94850,0.00103,0.93804,0.00102,0.00092,0.00087,0.19130,1.03246,1.03246,0.00107,0.93589,0.00089,0.00095,0.00113,0.20440,10.83455,10.47923,0.00097,0.97664,10.99501,9.05834,0.00067,0.95597,0.00000,0.00000,0.00093,0.20788,0.15024,0.15458,0.00077,0.90364,0.00089,0.00095,0.00113,0.20440
001,eval_signal_neg_16_5GeV,1.08000,5.00000,16.61788,16.61788,0.00103,0.99690,0.12534,0.11298,0.00087,0.34142,16.04079,16.04079,0.00107,0.99695,0.12238,0.12744,0.00113,0.40251,8.41587,8.14017,0.00097,0.95466,9.71344,8.02301,0.00067,0.94774,0.00000,0.00000,0.00093,0.23133,3.58666,3.93219,0.00077,0.99100,0.12238,0.12744,0.00113,0.40251
001,eval_signal_neg_8_5GeV,1.16000,5.00000,13.60657,13.60657,0.00103,0.99589,11.20615,10.10108,0.00087,0.67584,10.92626,10.92626,0.00107,0.99529,10.31961,10.80867,0.00113,0.69804,6.17633,5.97595,0.00097,0.89184,8.90825,7.37000,0.00067,0.93089,0.00000,0.00000,0.00093,0.54677,3.70800,3.93132,0.00077,0.98883,10.31961,10.80867,0.00113,0.69804
001,eval_signal_zero_5GeV,1.24000,5.00000,10.42292,10.42292,0.00103,0.99481,24.49930,22.08337,0.00087,0.90581,6.33224,6.33224,0.00107,0.99295,21.74453,23.04320,0.00113,0.91622,4.38998,4.31600,0.00097,0.83202,8.54961,7.30012,0.00067,0.92326,0.00000,0.00000,0.00093,0.78957,1.94194,2.29327,0.00077,0.98704,21.74453,23.04320,0.00113,0.91622
001,eval_signal_neg_91_0.5GeV,0.33000,0.50000,0.07435,0.07435,0.00103,0.68919,0.02616,0.02358,0.00087,0.58426,0.08022,0.08022,0.00107,0.68116,0.02079,0.01866,0.00113,0.55419,5.40280,5.22624,0.00097,0.92178,6.83388,5.65099,0.00067,0.92298,0.03601,0.03317,0.00093,0.72988,0.02456,0.02430,0.00077,0.58244,0.02079,0.01866,0.00113,0.55419
001,eval_signal_neg_58_0.5GeV,0.66000,0.50000,0.01742,0.01742,0.00103,0.54304,0.02616,0.02358,0.00087,0.58587,0.01990,0.01990,0.00107,0.53646,0.01990,0.01802,0.00113,0.55555,1.32642,1.28292,0.00097,0.83314,1.70953,1.42745,0.00067,0.84186,0.03993,0.03678,0.00093,0.73155,0.01047,0.00995,0.00077,0.45735,0.01990,0.01802,0.00113,0.55555
001,eval_signal_neg_24_0.5GeV,1.00000,0.50000,0.00902,0.00902,0.00103,0.35714,0.02480,0.02235,0.00087,0.58404,0.00919,0.00919,0.00107,0.35418,0.01456,0.01360,0.00113,0.55400,0.01994,0.01960,0.00097,0.56239,0.02363,0.01961,0.00067,0.59284,0.04288,0.03950,0.00093,0.72953,0.00506,0.00498,0.00077,0.34131,0.01456,0.01360,0.00113,0.55400
