z_m,m_chi_GeV,stem,n_seed,SIC_T_raw_med,SIC_T_raw_min,SIC_T_raw_max,SIC_T_I_med,SIC_T_I_min,SIC_T_I_max,SIC_T_S_med,SIC_T_S_min,SIC_T_S_max,SIC_Typ_I_med,SIC_Typ_I_min,SIC_Typ_I_max,SIC_Typ_II_med,SIC_Typ_II_min,SIC_Typ_II_max,SIC_Typ_tot_med,SIC_Typ_tot_min,SIC_Typ_tot_max,SIC_V_I_med,SIC_V_I_min,SIC_V_I_max,SIC_V_II_med,SIC_V_II_min,SIC_V_II_max,SIC_M_med,SIC_M_min,SIC_M_max,SICm_T_raw_med,SICm_T_raw_min,SICm_T_raw_max,SICm_T_I_med,SICm_T_I_min,SICm_T_I_max,SICm_T_S_med,SICm_T_S_min,SICm_T_S_max,SICm_Typ_I_med,SICm_Typ_I_min,SICm_Typ_I_max,SICm_Typ_II_med,SICm_Typ_II_min,SICm_Typ_II_max,SICm_Typ_tot_med,SICm_Typ_tot_min,SICm_Typ_tot_max,SICm_V_I_med,SICm_V_I_min,SICm_V_I_max,SICm_V_II_med,SICm_V_II_min,SICm_V_II_max,SICm_M_med,SICm_M_min,SICm_M_max,AUC_T_raw_med,AUC_T_I_med,AUC_T_S_med,AUC_Typ_I_med,AUC_Typ_II_med,AUC_Typ_tot_med,AUC_V_I_med,AUC_V_II_med,AUC_M_med
0.3300,0.0050,eval_signal_neg_91_low,3,0.0052,0.0050,0.0058,0.0122,0.0044,0.0272,0.0055,0.0047,0.0062,0.0062,0.0048,0.0184,0.0142,0.0127,0.0308,0.0170,0.0123,0.0310,0.0350,0.0132,0.0426,0.0036,0.0025,0.0038,0.0062,0.0048,0.0184,0.0055,0.0050,0.0058,0.0092,0.0044,0.0245,0.0055,0.0041,0.0062,0.0059,0.0044,0.0174,0.0143,0.0113,0.0271,0.0149,0.0117,0.0269,0.0308,0.0165,0.0392,0.0037,0.0026,0.0043,0.0059,0.0044,0.0174,0.3511,0.5836,0.3402,0.5537,0.5042,0.5433,0.5828,0.3355,0.5537
0.3300,0.0500,eval_signal_neg_91_0.05GeV,3,0.0053,0.0052,0.0070,0.0113,0.0038,0.0234,0.0056,0.0052,0.0065,0.0065,0.0043,0.0181,0.0154,0.0123,0.0308,0.0186,0.0110,0.0310,0.0383,0.0163,0.0392,0.0033,0.0032,0.0036,0.0065,0.0043,0.0181,0.0053,0.0052,0.0061,0.0085,0.0038,0.0211,0.0056,0.0052,0.0057,0.0062,0.0038,0.0174,0.0152,0.0110,0.0271,0.0158,0.0111,0.0266,0.0345,0.0221,0.0353,0.0032,0.0031,0.0032,0.0062,0.0038,0.0174,0.3604,0.5824,0.3486,0.5527,0.5369,0.5701,0.5803,0.3404,0.5527
0.3300,0.5000,eval_signal_neg_91_0.5GeV,3,0.0743,0.0199,0.5528,0.0126,0.0047,0.0262,0.0802,0.0199,0.4533,0.0079,0.0048,0.0208,5.4028,5.1210,6.1161,6.4250,4.3007,6.8339,0.0360,0.0145,0.0375,0.0246,0.0056,0.4277,0.0079,0.0048,0.0208,0.0743,0.0199,0.7379,0.0095,0.0047,0.0236,0.0802,0.0199,0.3972,0.0075,0.0051,0.0187,5.2262,4.5650,5.3818,5.5024,4.0809,5.6510,0.0330,0.0177,0.0332,0.0243,0.0049,0.3806,0.0075,0.0051,0.0187,0.6918,0.5843,0.6820,0.5542,0.9191,0.9174,0.5838,0.5895,0.5542
0.3300,5.0000,eval_signal_neg_91_5GeV,3,27.1015,25.4542,34.6468,0.0218,0.0082,0.0421,26.6189,25.9620,33.8459,0.0131,0.0094,0.0336,31.8203,30.8141,34.0302,35.4984,31.6673,37.0788,0.0417,0.0208,0.0494,22.9819,16.2796,24.4200,0.0410,0.0131,0.0775,27.1015,25.4542,27.1837,0.0164,0.0082,0.0380,26.6189,25.9620,29.6353,0.0124,0.0098,0.0326,29.8035,28.3561,29.9426,30.2877,30.0423,30.3993,0.0367,0.0218,0.0455,19.0280,14.9747,27.4349,0.0402,0.0124,0.0819,0.9883,0.5843,0.9878,0.5528,0.9983,0.9985,0.6000,0.9728,0.5531
0.6600,0.0050,eval_signal_neg_58_low,3,0.0072,0.0055,0.0081,0.0109,0.0025,0.0272,0.0070,0.0056,0.0076,0.0056,0.0031,0.0184,0.0153,0.0148,0.0255,0.0174,0.0133,0.0258,0.0357,0.0180,0.0435,0.0036,0.0032,0.0036,0.0056,0.0031,0.0184,0.0066,0.0055,0.0072,0.0085,0.0025,0.0245,0.0066,0.0056,0.0070,0.0053,0.0025,0.0161,0.0149,0.0137,0.0224,0.0155,0.0126,0.0225,0.0314,0.0196,0.0401,0.0035,0.0034,0.0035,0.0053,0.0025,0.0161,0.3515,0.5822,0.3405,0.5524,0.5010,0.5410,0.5817,0.3366,0.5524
0.6600,0.0500,eval_signal_neg_58_0.05GeV,3,0.0055,0.0046,0.0068,0.0130,0.0047,0.0336,0.0054,0.0047,0.0064,0.0085,0.0048,0.0238,0.0145,0.0117,0.0290,0.0163,0.0110,0.0299,0.0336,0.0187,0.0465,0.0043,0.0033,0.0049,0.0085,0.0048,0.0238,0.0064,0.0046,0.0068,0.0098,0.0047,0.0303,0.0047,0.0047,0.0064,0.0081,0.0047,0.0215,0.0143,0.0113,0.0258,0.0149,0.0114,0.0262,0.0296,0.0212,0.0428,0.0046,0.0035,0.0046,0.0081,0.0047,0.0215,0.3550,0.5834,0.3436,0.5535,0.5199,0.5548,0.5835,0.3373,0.5535
0.6600,0.5000,eval_signal_neg_58_0.5GeV,3,0.0174,0.0107,0.0517,0.0109,0.0028,0.0262,0.0199,0.0112,0.0423,0.0069,0.0037,0.0199,1.3264,1.0107,2.5367,1.7095,0.8450,2.6259,0.0301,0.0218,0.0399,0.0105,0.0052,0.0636,0.0069,0.0037,0.0199,0.0174,0.0107,0.0823,0.0082,0.0028,0.0236,0.0199,0.0112,0.0370,0.0065,0.0028,0.0180,1.2829,0.9015,2.2320,1.4275,0.8016,2.2487,0.0264,0.0240,0.0368,0.0100,0.0069,0.0536,0.0065,0.0028,0.0180,0.5518,0.5859,0.5395,0.5555,0.8076,0.8091,0.5868,0.4688,0.5555
0.6600,5.0000,eval_signal_neg_58_5GeV,3,21.4462,14.9309,31.0028,0.0130,0.0028,0.0302,20.9110,15.4827,30.1953,0.0069,0.0046,0.0241,31.7277,30.8350,34.1207,35.6121,31.6293,37.1307,0.0332,0.0225,0.0507,11.5975,2.8765,20.2981,0.0069,0.0046,0.0241,21.4462,14.9309,24.4944,0.0101,0.0028,0.0273,20.9110,15.4827,26.4389,0.0068,0.0028,0.0209,29.8238,28.2736,30.0222,30.3256,30.0062,30.4964,0.0292,0.0280,0.0467,9.9076,3.0296,22.4618,0.0068,0.0028,0.0209,0.9782,0.5895,0.9767,0.5582,0.9962,0.9965,0.5998,0.9422,0.5582
1.0000,0.0050,eval_signal_neg_24_low,3,0.0084,0.0064,0.0103,0.0113,0.0044,0.0265,0.0083,0.0072,0.0094,0.0069,0.0051,0.0190,0.0148,0.0127,0.0318,0.0182,0.0110,0.0314,0.0329,0.0208,0.0399,0.0043,0.0040,0.0046,0.0069,0.0051,0.0190,0.0084,0.0064,0.0089,0.0085,0.0044,0.0239,0.0083,0.0072,0.0085,0.0065,0.0044,0.0177,0.0143,0.0128,0.0280,0.0152,0.0130,0.0272,0.0289,0.0218,0.0368,0.0044,0.0043,0.0046,0.0065,0.0044,0.0177,0.3498,0.5844,0.3387,0.5542,0.4984,0.5413,0.5847,0.3343,0.5542
1.0000,0.0500,eval_signal_neg_24_0.05GeV,3,0.0052,0.0050,0.0059,0.0097,0.0028,0.0302,0.0053,0.0052,0.0058,0.0065,0.0037,0.0214,0.0147,0.0145,0.0269,0.0159,0.0140,0.0266,0.0265,0.0152,0.0383,0.0029,0.0025,0.0035,0.0065,0.0037,0.0214,0.0052,0.0050,0.0058,0.0073,0.0028,0.0273,0.0052,0.0051,0.0053,0.0062,0.0028,0.0209,0.0140,0.0137,0.0236,0.0136,0.0136,0.0237,0.0233,0.0171,0.0353,0.0028,0.0026,0.0029,0.0062,0.0028,0.0209,0.3501,0.5834,0.3390,0.5536,0.5021,0.5434,0.5822,0.3343,0.5536
1.0000,0.5000,eval_signal_neg_24_0.5GeV,3,0.0089,0.0086,0.0090,0.0092,0.0035,0.0248,0.0084,0.0083,0.0092,0.0056,0.0040,0.0146,0.0199,0.0163,0.0364,0.0236,0.0147,0.0355,0.0311,0.0180,0.0429,0.0051,0.0049,0.0060,0.0056,0.0040,0.0146,0.0090,0.0086,0.0098,0.0073,0.0035,0.0224,0.0084,0.0073,0.0092,0.0053,0.0035,0.0136,0.0196,0.0146,0.0320,0.0196,0.0145,0.0307,0.0274,0.0215,0.0395,0.0050,0.0049,0.0052,0.0053,0.0035,0.0136,0.3662,0.5840,0.3545,0.5540,0.5624,0.5928,0.5837,0.3413,0.5540
1.0000,5.0000,eval_signal_neg_24_5GeV,3,0.0669,0.0527,0.7160,0.0160,0.0063,0.0374,0.0735,0.0541,0.6187,0.0098,0.0074,0.0250,13.0833,12.4839,16.3724,15.5504,11.6663,17.1672,0.0346,0.0260,0.0520,0.0155,0.0072,0.3738,0.0098,0.0074,0.0250,0.0669,0.0527,0.8273,0.0120,0.0063,0.0337,0.0735,0.0541,0.5420,0.0093,0.0063,0.0228,12.0745,11.6596,14.4061,12.8003,11.0677,14.7017,0.0305,0.0289,0.0479,0.0158,0.0081,0.3316,0.0093,0.0063,0.0228,0.7516,0.5915,0.7424,0.5600,0.9756,0.9756,0.5986,0.5952,0.5600
1.0400,0.0050,eval_signal_neg_20_low,3,0.0579,0.0535,0.0585,0.0006,0.0000,0.0024,0.0597,0.0520,0.0622,0.0009,0.0000,0.0027,0.0217,0.0125,0.0318,0.0217,0.0089,0.0247,0.0000,0.0000,0.0000,0.0527,0.0501,0.0720,0.0009,0.0000,0.0027,0.0585,0.0579,0.0779,0.0006,0.0000,0.0021,0.0597,0.0455,0.0622,0.0009,0.0000,0.0025,0.0205,0.0124,0.0280,0.0212,0.0089,0.0218,0.0000,0.0000,0.0000,0.0595,0.0533,0.0597,0.0009,0.0000,0.0025,0.8715,0.3201,0.8688,0.3451,0.5102,0.4842,0.2036,0.8709,0.3451
1.0400,0.0500,eval_signal_neg_20_0.05GeV,3,0.0615,0.0547,0.0625,0.0016,0.0000,0.0024,0.0641,0.0527,0.0652,0.0020,0.0000,0.0024,0.0213,0.0158,0.0315,0.0217,0.0132,0.0247,0.0000,0.0000,0.0000,0.0507,0.0470,0.0771,0.0020,0.0000,0.0024,0.0625,0.0615,0.0803,0.0016,0.0000,0.0021,0.0641,0.0465,0.0652,0.0022,0.0000,0.0025,0.0193,0.0152,0.0277,0.0209,0.0123,0.0215,0.0000,0.0000,0.0000,0.0637,0.0495,0.0652,0.0022,0.0000,0.0025,0.8712,0.3203,0.8685,0.3453,0.5167,0.4897,0.2036,0.8705,0.3453
1.0400,0.5000,eval_signal_neg_20_0.5GeV,3,0.0652,0.0587,0.0656,0.0009,0.0004,0.0020,0.0663,0.0553,0.0689,0.0009,0.0000,0.0021,0.0217,0.0196,0.0453,0.0237,0.0151,0.0329,0.0000,0.0000,0.0000,0.0498,0.0445,0.0749,0.0009,0.0000,0.0021,0.0656,0.0652,0.0935,0.0009,0.0006,0.0018,0.0663,0.0490,0.0689,0.0009,0.0000,0.0022,0.0208,0.0193,0.0398,0.0231,0.0136,0.0285,0.0000,0.0000,0.0000,0.0543,0.0489,0.0615,0.0009,0.0000,0.0022,0.8759,0.3203,0.8732,0.3454,0.5950,0.5610,0.2039,0.8722,0.3454
1.0400,5.0000,eval_signal_neg_20_5GeV,3,1.2551,0.9485,2.5997,0.0003,0.0000,0.0010,1.2845,1.0325,2.6209,0.0003,0.0000,0.0009,18.1847,10.8346,23.4586,18.3260,10.9950,22.6336,0.0000,0.0000,0.0007,0.1502,0.1077,0.7782,0.0003,0.0000,0.0009,1.2551,0.9485,3.0048,0.0003,0.0000,0.0009,1.2845,1.0325,2.2958,0.0003,0.0000,0.0009,16.2052,10.4792,20.6411,17.3862,9.0583,19.3832,0.0000,0.0000,0.0006,0.1546,0.1403,0.6764,0.0003,0.0000,0.0009,0.9426,0.3238,0.9385,0.3482,0.9837,0.9785,0.2079,0.9036,0.3482
