z_m,m_chi_GeV,stem,raw_LL,T_occ_raw,T_occ_simple,p_raw,p_L,p_S,p_occ,p_Bonf,p_comb
0.33,5.0,eval_signal_neg_91_5GeV,26.9716,0.0052,0.0009,28.7978,0.0387,30.0506,0.0197,32.3059,31.3617
0.66,5.0,eval_signal_neg_58_5GeV,20.6104,0.0019,0.0000,21.6359,0.0278,22.4047,0.0072,16.8821,20.7357
1.0,5.0,eval_signal_neg_24_5GeV,0.0434,0.0038,0.0000,0.0416,0.0344,0.0488,0.0143,0.0132,0.0458
1.04,5.0,eval_signal_neg_20_5GeV,0.5790,0.0000,0.0000,0.4959,0.0009,0.5685,0.0000,0.0124,0.1024
1.08,5.0,eval_signal_neg_16_5GeV,10.1581,0.0120,0.0233,8.3846,0.1153,8.6783,0.0456,0.1514,1.3087
1.16,5.0,eval_signal_neg_8_5GeV,8.3847,2.2459,4.3612,7.0858,10.2975,5.2913,8.5427,4.9505,13.0685
1.24,5.0,eval_signal_zero_5GeV,6.2246,10.7251,20.8267,5.6835,22.2185,3.2771,40.7009,10.7445,29.9040
0.33,0.5,eval_signal_neg_91_0.5GeV,0.0406,0.0026,0.0000,0.0372,0.0241,0.0431,0.0098,0.0081,0.0377
0.66,0.5,eval_signal_neg_58_0.5GeV,0.0120,0.0019,0.0000,0.0122,0.0241,0.0134,0.0072,0.0077,0.0296
1.0,0.5,eval_signal_neg_24_0.5GeV,0.0079,0.0024,0.0000,0.0085,0.0228,0.0085,0.0089,0.0064,0.0227
1.04,0.5,eval_signal_neg_20_0.5GeV,0.0378,0.0002,0.0005,0.0358,0.0019,0.0392,0.0009,0.0098,0.0177
1.08,0.5,eval_signal_neg_16_0.5GeV,0.6904,0.0136,0.0265,0.5554,0.1337,0.5763,0.0519,0.0695,0.3091
1.16,0.5,eval_signal_neg_8_0.5GeV,0.7215,2.3035,4.4731,0.5443,10.5239,0.3939,8.7645,4.9829,13.0427
1.24,0.5,eval_signal_zero_0.5GeV,0.4339,10.7879,20.9486,0.4253,22.1664,0.2666,40.9540,10.5556,29.8921
0.33,0.05,eval_signal_neg_91_0.05GeV,0.0041,0.0021,0.0000,0.0047,0.0216,0.0049,0.0080,0.0060,0.0246
0.66,0.05,eval_signal_neg_58_0.05GeV,0.0057,0.0024,0.0000,0.0064,0.0309,0.0067,0.0089,0.0060,0.0304
1.0,0.05,eval_signal_neg_24_0.05GeV,0.0050,0.0019,0.0000,0.0061,0.0278,0.0064,0.0072,0.0055,0.0308
1.04,0.05,eval_signal_neg_20_0.05GeV,0.0390,0.0005,0.0009,0.0365,0.0022,0.0421,0.0018,0.0102,0.0177
1.08,0.05,eval_signal_neg_16_0.05GeV,0.6013,0.0157,0.0306,0.4892,0.1443,0.5073,0.0599,0.0776,0.3175
1.16,0.05,eval_signal_neg_8_0.05GeV,0.6441,2.2591,4.3868,0.4949,10.4808,0.3620,8.5954,4.9364,12.9792
1.24,0.05,eval_signal_zero_0.05GeV,0.3726,10.8379,21.0458,0.3458,22.1726,0.2362,41.1481,10.6571,29.8960
0.33,0.005,eval_signal_neg_91_low,0.0053,0.0026,0.0000,0.0057,0.0250,0.0064,0.0098,0.0060,0.0262
0.66,0.005,eval_signal_neg_58_low,0.0057,0.0007,0.0000,0.0068,0.0250,0.0074,0.0027,0.0043,0.0281
1.0,0.005,eval_signal_neg_24_low,0.0079,0.0028,0.0000,0.0091,0.0244,0.0095,0.0107,0.0068,0.0266
1.04,0.005,eval_signal_neg_20_low,0.0396,0.0000,0.0000,0.0379,0.0022,0.0410,0.0000,0.0102,0.0200
1.08,0.005,eval_signal_neg_16_low,0.6085,0.0103,0.0201,0.5118,0.1296,0.5300,0.0394,0.0712,0.3106
1.16,0.005,eval_signal_neg_8_low,0.6340,2.3026,4.4712,0.4882,10.5152,0.3578,8.7591,4.9599,13.0243
1.24,0.005,eval_signal_zero_low,0.3829,10.7712,20.9162,0.3627,22.1948,0.2348,40.8977,10.5730,29.9275
